selection,limit,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,15,100,50,rastrigin,3,0.000040,0.001861,0.001980,0.004974,0.623580
roulette wheel,10,100,50,rastrigin,3,0.008110,0.053833,0.074422,0.153096,0.650990
roulette wheel,30,100,50,rastrigin,3,0.000000,0.000006,0.000008,0.000022,0.602420
roulette wheel,20,100,50,rastrigin,3,0.000008,0.000091,0.000103,0.000192,0.662775
roulette wheel,25,100,50,rastrigin,3,0.000000,0.000031,0.000031,0.000443,0.748860
roulette wheel,5,100,50,rastrigin,3,0.014481,0.317642,0.259866,0.462724,0.820570
roulette wheel,35,100,50,rastrigin,3,0.000000,0.000007,0.000004,0.000048,0.836595
roulette wheel,60,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000029,0.596535
roulette wheel,45,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000006,0.593450
roulette wheel,55,100,50,rastrigin,3,0.000000,0.000008,0.000010,0.000020,0.634225
roulette wheel,40,100,50,rastrigin,3,0.000000,0.000007,0.000006,0.000052,0.828090
roulette wheel,70,100,50,rastrigin,3,0.000000,0.000006,0.000008,0.000011,0.615165
roulette wheel,50,100,50,rastrigin,3,0.000000,0.000005,0.000005,0.000022,0.760160
roulette wheel,65,100,50,rastrigin,3,0.000000,0.000006,0.000004,0.000014,0.875745
roulette wheel,100,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000040,0.606835
roulette wheel,95,100,50,rastrigin,3,0.000000,0.000004,0.000003,0.000039,0.680090
roulette wheel,105,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000015,0.639875
roulette wheel,110,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000004,0.688215
roulette wheel,75,100,50,rastrigin,3,0.000000,0.000006,0.000004,0.000020,1.399550
roulette wheel,135,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000020,1.147115
roulette wheel,80,100,50,rastrigin,3,0.000000,0.000002,0.000003,0.000005,1.327295
roulette wheel,85,100,50,rastrigin,3,0.000000,0.000002,0.000003,0.000010,1.409925
roulette wheel,115,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000005,0.652770
roulette wheel,120,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000008,0.623900
roulette wheel,130,100,50,rastrigin,3,0.000000,0.000002,0.000002,0.000016,0.658000
roulette wheel,175,100,50,rastrigin,3,0.000000,0.000003,0.000003,0.000012,0.759665
roulette wheel,90,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000009,0.670875
roulette wheel,140,100,50,rastrigin,3,0.000000,0.000005,0.000006,0.000029,0.598700
roulette wheel,145,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000006,0.653050
roulette wheel,150,100,50,rastrigin,3,0.000000,0.000005,0.000004,0.000015,0.673510
roulette wheel,155,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000008,0.635945
roulette wheel,160,100,50,rastrigin,3,0.000000,0.000005,0.000004,0.000014,0.603480
roulette wheel,165,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000013,0.593250
roulette wheel,170,100,50,rastrigin,3,0.000000,0.000006,0.000008,0.000021,0.759315
roulette wheel,125,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000009,0.621170
roulette wheel,190,100,50,rastrigin,3,0.000000,0.000002,0.000003,0.000013,0.605130
roulette wheel,180,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000008,0.723045
roulette wheel,185,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000018,0.751770
roulette wheel,200,100,50,rastrigin,3,0.000000,0.000004,0.000003,0.000012,0.592210
roulette wheel,195,100,50,rastrigin,3,0.000000,0.000006,0.000006,0.000012,0.823960
tournament 3,10,100,50,rastrigin,3,0.000698,0.037218,0.051713,0.137457,0.587980
tournament 3,5,100,50,rastrigin,3,0.089241,0.499381,0.520298,0.501550,0.598620
tournament 3,75,100,50,rastrigin,3,0.000000,0.000002,0.000004,0.000005,0.489125
tournament 3,20,100,50,rastrigin,3,0.000000,0.000070,0.000074,0.000694,0.496110
tournament 3,30,100,50,rastrigin,3,0.000000,0.000010,0.000013,0.000040,0.490685
tournament 3,25,100,50,rastrigin,3,0.000000,0.000018,0.000018,0.000091,0.562140
tournament 3,35,100,50,rastrigin,3,0.000000,0.000005,0.000007,0.000023,0.526545
tournament 3,45,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000019,0.486040
tournament 3,105,100,50,rastrigin,3,0.000000,0.000002,0.000004,0.000007,0.496965
tournament 3,50,100,50,rastrigin,3,0.000000,0.000011,0.000012,0.000011,0.501235
tournament 3,60,100,50,rastrigin,3,0.000000,0.000005,0.000007,0.000041,0.501870
tournament 3,120,100,50,rastrigin,3,0.000000,0.000004,0.000005,0.000108,0.596690
tournament 3,65,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000011,0.527690
tournament 3,70,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000012,0.518140
tournament 3,80,100,50,rastrigin,3,0.000000,0.000004,0.000005,0.000014,0.526605
tournament 3,85,100,50,rastrigin,3,0.000000,0.000001,0.000001,0.000013,0.557190
tournament 3,90,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000051,0.487490
tournament 3,95,100,50,rastrigin,3,0.000000,0.000007,0.000010,0.000046,0.490445
tournament 3,15,100,50,rastrigin,3,0.000059,0.001776,0.002305,0.003424,0.708395
tournament 3,100,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000008,0.490185
tournament 3,40,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000014,0.529030
tournament 3,110,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000011,0.519120
tournament 3,55,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000009,0.504820
tournament 3,125,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000013,0.490720
tournament 3,115,100,50,rastrigin,3,0.000000,0.000002,0.000002,0.000021,0.622780
tournament 3,130,100,50,rastrigin,3,0.000000,0.000003,0.000002,0.000007,0.505900
tournament 3,135,100,50,rastrigin,3,0.000000,0.000003,0.000003,0.000009,0.509950
tournament 3,140,100,50,rastrigin,3,0.000000,0.000003,0.000003,0.000006,0.511665
tournament 3,145,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000007,0.542310
tournament 3,150,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000059,0.489120
tournament 3,155,100,50,rastrigin,3,0.000000,0.000002,0.000000,0.000017,0.619750
