n_leaders,a_factor,c_factor,convergence,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
3,0.500000,3.316448,linear,150,50,rastrigin,3,0.000000,0.994957,0.994957,1.421084,2.333025
3,0.500000,1.287720,linear,150,50,rastrigin,3,0.994957,3.303734,4.481862,2.767838,2.405050
3,0.500000,0.802409,linear,150,50,rastrigin,3,0.006050,3.167824,3.975554,2.248215,2.436165
3,0.500000,0.500000,linear,150,50,rastrigin,3,1.129608,4.619706,5.353220,3.027201,2.626760
3,0.500000,5.322296,linear,150,50,rastrigin,3,0.000000,0.621848,0.994957,0.696470,2.682495
3,0.500000,8.541316,linear,150,50,rastrigin,3,0.000000,0.248739,0.000000,0.487428,2.732790
3,0.585390,0.585390,linear,150,50,rastrigin,3,0.000355,4.083294,5.089354,3.030498,2.755245
3,0.500000,2.066557,linear,150,50,rastrigin,3,0.000000,1.928061,1.989932,2.053459,2.988510
3,0.585390,0.939444,linear,150,50,rastrigin,3,0.994961,2.238881,1.990196,3.004446,2.158825
3,0.585390,2.419483,linear,150,50,rastrigin,3,0.000000,1.492440,1.989916,1.403559,2.530185
3,0.500000,3.882831,linear,150,50,rastrigin,3,0.000000,2.052100,1.989916,2.288400,2.870205
3,0.585390,1.507637,linear,150,50,rastrigin,3,0.003448,1.865769,1.989918,1.423439,2.815720
3,0.500000,1.507637,linear,150,50,rastrigin,3,0.000431,2.242774,2.519648,2.937867,2.965665
3,0.500000,0.585390,linear,150,50,rastrigin,3,0.999729,4.030499,4.983420,2.516846,2.873940
3,0.500000,0.939444,linear,150,50,rastrigin,3,0.995174,3.502833,4.478056,2.830654,3.019120
3,0.500000,10.000000,linear,150,50,rastrigin,3,0.000000,0.124370,0.000000,0.455947,2.279740
3,0.500000,6.231237,linear,150,50,rastrigin,3,0.000000,0.435294,0.994957,1.146362,2.809105
3,0.585390,3.882831,linear,150,50,rastrigin,3,0.000000,0.870587,0.994957,0.621351,3.535290
3,0.585390,0.685363,linear,150,50,rastrigin,3,0.063244,3.358804,4.729641,2.165483,3.062545
3,0.585390,10.000000,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.216846,2.918550
3,0.500000,2.419483,linear,150,50,rastrigin,3,0.000000,1.678993,1.989915,1.818350,3.166160
3,0.585390,2.832683,linear,150,50,rastrigin,3,0.000000,1.057143,0.994959,1.622727,3.192195
3,0.500000,4.545940,linear,150,50,rastrigin,3,0.000000,0.870587,0.994957,1.229689,3.342340
3,0.585390,1.765111,linear,150,50,rastrigin,3,0.994957,1.866331,1.989918,2.405461,3.495340
