n_leaders,a_factor,c_factor,convergence,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
3,1.765111,1.765111,linear,150,50,rosenbrock,3,0.000061,0.187327,0.253127,1.220427,0.849445
3,0.500000,1.507637,linear,150,50,rosenbrock,3,0.072573,0.934331,0.963161,2.712021,0.821155
3,2.066557,5.322296,linear,150,50,rosenbrock,3,0.003815,0.755003,0.321061,3.131319,0.630790
3,2.066557,3.316448,linear,150,50,rosenbrock,3,0.012738,0.291989,0.303006,1.389271,0.698370
3,2.419483,0.939444,linear,150,50,rosenbrock,3,0.000271,0.472952,0.629077,4.053333,0.622390
3,2.066557,2.066557,linear,150,50,rosenbrock,3,0.000774,0.176338,0.220060,1.344558,0.800810
3,1.287720,10.000000,linear,150,50,rosenbrock,3,0.000072,0.446608,0.367438,2.011917,0.838200
3,0.500000,7.295407,linear,150,50,rosenbrock,3,0.010961,0.586486,0.278971,3.332674,0.953540
3,2.419483,6.231237,linear,150,50,rosenbrock,3,0.000847,1.238935,0.581952,3.182966,0.653610
3,2.419483,3.882831,linear,150,50,rosenbrock,3,0.000483,0.226311,0.245108,1.913943,0.753715
3,2.832683,0.685363,linear,150,50,rosenbrock,3,0.004625,0.438167,0.601549,2.449947,0.666370
3,2.832683,1.099883,linear,150,50,rosenbrock,3,0.002036,0.746723,0.423283,2.293726,0.691690
3,2.066557,0.585390,linear,150,50,rosenbrock,3,0.000140,1.328999,1.400997,2.394964,0.817625
3,2.832683,4.545940,linear,150,50,rosenbrock,3,0.087524,0.502019,0.449663,1.868476,0.833430
3,0.802409,0.500000,linear,150,50,rosenbrock,3,0.000339,1.021949,1.233340,3.055919,0.772820
3,0.500000,0.802409,linear,150,50,rosenbrock,3,0.003935,1.355919,1.312161,8.209123,0.731400
3,0.685363,1.287720,linear,150,50,rosenbrock,3,0.081310,2.408038,3.501329,2.767530,0.668195
3,0.685363,4.545940,linear,150,50,rosenbrock,3,0.025901,0.290838,0.311430,1.733347,0.880505
3,2.419483,2.419483,linear,150,50,rosenbrock,3,0.000358,0.364759,0.222188,2.505013,1.345470
3,0.500000,3.316448,linear,150,50,rosenbrock,3,0.004610,1.161626,0.747424,2.984776,1.233175
3,0.685363,7.295407,linear,150,50,rosenbrock,3,0.005450,0.170390,0.213225,0.655989,0.842750
3,1.099883,2.066557,linear,150,50,rosenbrock,3,0.019026,0.839997,0.394268,2.893182,0.835125
3,0.500000,1.765111,linear,150,50,rosenbrock,3,0.012816,1.079834,1.004653,1.900031,1.245790
3,2.066557,8.541316,linear,150,50,rosenbrock,3,0.014109,0.456249,0.541453,1.780982,1.718435
3,0.500000,0.685363,linear,150,50,rosenbrock,3,0.003328,1.169507,1.281702,17.266624,0.626670
3,2.832683,1.287720,linear,150,50,rosenbrock,3,0.002319,0.445749,0.303893,2.113366,0.637215
3,2.832683,0.802409,linear,150,50,rosenbrock,3,0.001217,0.287309,0.383095,1.425142,0.680520
3,0.802409,2.832683,linear,150,50,rosenbrock,3,0.006442,0.351047,0.365852,1.500707,1.600530
3,0.802409,5.322296,linear,150,50,rosenbrock,3,0.049134,0.447503,0.322544,1.899229,0.801110
3,2.066557,0.685363,linear,150,50,rosenbrock,3,0.076235,0.827504,0.713490,2.843168,0.619075
3,0.585390,1.099883,linear,150,50,rosenbrock,3,0.018209,1.616220,2.461109,2.626186,0.933675
3,0.685363,0.500000,linear,150,50,rosenbrock,3,0.022727,2.281363,3.108658,8.769626,0.792915
3,0.500000,2.832683,linear,150,50,rosenbrock,3,0.008196,1.821651,1.046502,3.858052,0.797795
3,0.585390,7.295407,linear,150,50,rosenbrock,3,0.005361,0.163335,0.211191,1.115796,0.820850
3,0.500000,10.000000,linear,150,50,rosenbrock,3,0.052317,0.878818,0.288570,2.711573,0.915245
3,0.585390,2.832683,linear,150,50,rosenbrock,3,0.039928,1.358601,0.899509,3.548450,0.854100
3,1.765111,2.066557,linear,150,50,rosenbrock,3,0.000224,0.189672,0.265456,0.651812,1.536885
3,0.585390,1.765111,linear,150,50,rosenbrock,3,0.000011,1.698984,2.563526,2.465008,0.959145
3,0.802409,8.541316,linear,150,50,rosenbrock,3,0.004530,0.777700,0.215430,2.022644,0.812905
3,0.802409,0.585390,linear,150,50,rosenbrock,3,0.090158,1.650199,1.790963,73.225266,0.721350
3,1.287720,3.316448,linear,150,50,rosenbrock,3,0.018392,0.320910,0.278941,1.685102,0.649855
3,1.099883,1.287720,linear,150,50,rosenbrock,3,0.000101,2.024009,2.611512,3.433149,0.628340
3,0.939444,7.295407,linear,150,50,rosenbrock,3,0.000134,0.223857,0.262923,2.580696,0.723690
3,0.802409,1.099883,linear,150,50,rosenbrock,3,0.098821,1.681783,2.484089,1.932367,0.801525
3,1.287720,0.585390,linear,150,50,rosenbrock,3,0.013994,1.522991,1.394867,2.752423,0.619470
3,0.939444,0.685363,linear,150,50,rosenbrock,3,0.013546,0.938716,0.904939,1.509816,0.770665
3,1.099883,2.419483,linear,150,50,rosenbrock,3,0.011264,0.336422,0.376373,2.253071,0.963175
3,1.507637,2.419483,linear,150,50,rosenbrock,3,0.000991,0.184456,0.256522,2.254622,0.655910
3,0.939444,4.545940,linear,150,50,rosenbrock,3,0.025557,0.215403,0.259917,1.444884,0.802940
3,0.939444,1.099883,linear,150,50,rosenbrock,3,0.061665,1.735383,1.339164,3.919706,0.776435
3,0.685363,3.316448,linear,150,50,rosenbrock,3,0.002681,0.282737,0.244667,3.077447,0.925595
3,1.099883,5.322296,linear,150,50,rosenbrock,3,0.001382,0.128710,0.176082,1.305073,0.814015
3,1.099883,8.541316,linear,150,50,rosenbrock,3,0.000725,0.653542,0.276063,2.274392,0.632045
3,0.939444,1.765111,linear,150,50,rosenbrock,3,0.000292,1.077462,0.635339,3.948839,0.789715
3,2.419483,0.802409,linear,150,50,rosenbrock,3,0.001985,0.504746,0.612265,2.209839,0.629700
3,0.939444,2.832683,linear,150,50,rosenbrock,3,0.000147,0.247782,0.318824,1.080274,0.986555
3,1.287720,0.939444,linear,150,50,rosenbrock,3,0.048588,1.368289,1.562248,2.225785,0.662665
3,1.287720,1.507637,linear,150,50,rosenbrock,3,0.000346,0.522458,0.486843,2.913506,0.694875
3,0.685363,2.066557,linear,150,50,rosenbrock,3,0.179114,0.552185,0.649770,2.411398,0.850670
3,1.287720,6.231237,linear,150,50,rosenbrock,3,0.000083,0.346849,0.341607,1.555626,0.640210
3,2.419483,1.507637,linear,150,50,rosenbrock,3,0.006422,0.214100,0.272904,2.873787,0.671590
3,0.585390,3.316448,linear,150,50,rosenbrock,3,0.003545,0.542242,0.576874,1.875598,1.523565
3,1.099883,3.316448,linear,150,50,rosenbrock,3,0.008624,0.451076,0.384138,2.492882,1.227020
3,1.765111,0.500000,linear,150,50,rosenbrock,3,0.004590,1.362803,1.121061,2.773159,0.634550
3,1.287720,2.419483,linear,150,50,rosenbrock,3,0.000084,0.580545,0.375672,2.935848,0.879640
3,1.765111,4.545940,linear,150,50,rosenbrock,3,0.000656,0.190359,0.260703,2.767045,0.921245
3,1.507637,1.765111,linear,150,50,rosenbrock,3,0.000329,0.535481,0.390640,1.712670,0.838595
3,1.765111,1.287720,linear,150,50,rosenbrock,3,0.000114,0.425464,0.485431,2.596307,0.648775
3,1.507637,4.545940,linear,150,50,rosenbrock,3,0.017067,0.198268,0.221183,2.054358,0.837955
3,2.066557,0.802409,linear,150,50,rosenbrock,3,0.002523,0.495608,0.559246,2.312915,0.819560
3,2.066557,1.287720,linear,150,50,rosenbrock,3,0.026680,0.647924,0.470575,2.230181,0.828295
3,1.507637,2.832683,linear,150,50,rosenbrock,3,0.000008,0.222020,0.258713,2.556528,0.906490
3,2.419483,10.000000,linear,150,50,rosenbrock,3,0.055319,1.536422,0.481239,3.365534,0.706130
3,1.507637,7.295407,linear,150,50,rosenbrock,3,0.002094,0.177564,0.241523,1.389705,0.733760
3,1.765111,0.802409,linear,150,50,rosenbrock,3,0.038217,0.975204,0.963630,3.127627,0.865915
3,1.099883,0.939444,linear,150,50,rosenbrock,3,0.006594,1.149223,0.922755,3.387265,0.818010
