selection,limit,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,15,100,50,rastrigin,3,0.000069,0.000878,0.000851,0.002377,0.692325
roulette wheel,30,100,50,rastrigin,3,0.000000,0.000005,0.000007,0.000017,0.697455
roulette wheel,5,100,50,rastrigin,3,0.032990,0.301916,0.277483,0.433886,0.769085
roulette wheel,25,100,50,rastrigin,3,0.000000,0.000016,0.000013,0.000170,0.762175
roulette wheel,10,100,50,rastrigin,3,0.002058,0.024750,0.019890,0.056703,0.885985
roulette wheel,20,100,50,rastrigin,3,0.000006,0.000133,0.000210,0.000270,0.867820
roulette wheel,35,100,50,rastrigin,3,0.000000,0.000005,0.000008,0.000025,0.914820
roulette wheel,50,100,50,rastrigin,3,0.000000,0.000002,0.000002,0.000014,0.605130
roulette wheel,45,100,50,rastrigin,3,0.000000,0.000007,0.000007,0.000018,0.648920
roulette wheel,55,100,50,rastrigin,3,0.000000,0.000004,0.000006,0.000027,0.613790
roulette wheel,65,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000012,0.587360
roulette wheel,40,100,50,rastrigin,3,0.000000,0.000004,0.000005,0.000022,0.818275
roulette wheel,60,100,50,rastrigin,3,0.000000,0.000005,0.000006,0.000023,0.811670
roulette wheel,70,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000010,0.706955
roulette wheel,80,100,50,rastrigin,3,0.000000,0.000004,0.000005,0.000012,0.586720
roulette wheel,85,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000009,0.590720
roulette wheel,75,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000010,0.722775
roulette wheel,95,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000007,0.620590
roulette wheel,90,100,50,rastrigin,3,0.000000,0.000005,0.000003,0.000015,0.858210
roulette wheel,105,100,50,rastrigin,3,0.000000,0.000005,0.000005,0.000012,0.758190
roulette wheel,100,100,50,rastrigin,3,0.000000,0.000005,0.000006,0.000013,0.887830
roulette wheel,110,100,50,rastrigin,3,0.000000,0.000004,0.000006,0.000010,0.887810
roulette wheel,120,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000010,0.772560
roulette wheel,115,100,50,rastrigin,3,0.000000,0.000003,0.000003,0.000010,0.831695
roulette wheel,125,100,50,rastrigin,3,0.000000,0.000003,0.000002,0.000022,0.684025
