selection,limit,mutation_dims,phi0,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,10,1,0.500000,75,50,rastrigin,3,0.003008,0.091247,0.103321,0.277413,0.901290
roulette wheel,10,1,1.200103,75,50,rastrigin,3,0.002987,0.040892,0.038642,0.073059,0.858440
roulette wheel,10,1,0.578555,75,50,rastrigin,3,0.001791,0.040949,0.042322,0.096788,1.042885
roulette wheel,10,1,1.037155,75,50,rastrigin,3,0.000837,0.021284,0.029634,0.065069,1.005180
roulette wheel,10,1,0.774630,75,50,rastrigin,3,0.002838,0.062858,0.055967,0.227254,1.135710
roulette wheel,10,1,0.669452,75,50,rastrigin,3,0.005730,0.085689,0.056775,0.259434,1.164015
roulette wheel,10,1,0.896332,75,50,rastrigin,3,0.007982,0.113731,0.117958,0.260931,1.200425
roulette wheel,10,1,1.290939,75,50,rastrigin,3,0.005217,0.031316,0.028143,0.051488,0.990385
roulette wheel,10,1,1.388651,75,50,rastrigin,3,0.000458,0.042390,0.048890,0.249788,1.915210
roulette wheel,10,1,1.115658,75,50,rastrigin,3,0.000681,0.026397,0.027149,0.052711,0.899260
roulette wheel,10,1,1.606822,75,50,rastrigin,3,0.000751,0.066762,0.058441,0.246774,1.152805
roulette wheel,10,1,0.833262,75,50,rastrigin,3,0.002621,0.068804,0.089457,0.188770,0.869620
roulette wheel,10,1,0.622346,75,50,rastrigin,3,0.012274,0.056761,0.051365,0.207202,0.973740
roulette wheel,10,1,0.537845,75,50,rastrigin,3,0.000149,0.033218,0.037803,0.077374,1.561165
roulette wheel,10,1,1.859271,75,50,rastrigin,3,0.011349,0.092442,0.092303,0.182719,1.706630
roulette wheel,20,1,0.500000,75,50,rastrigin,3,0.000113,0.002744,0.002344,0.022148,0.899495
roulette wheel,20,1,0.578555,75,50,rastrigin,3,0.000000,0.000840,0.000405,0.003563,0.925420
roulette wheel,10,1,0.720123,75,50,rastrigin,3,0.004463,0.082157,0.094716,0.326617,0.996815
roulette wheel,10,1,0.964176,75,50,rastrigin,3,0.001110,0.029575,0.029136,0.084630,0.984075
roulette wheel,10,1,1.493759,75,50,rastrigin,3,0.001066,0.050239,0.067252,0.161234,1.021905
roulette wheel,10,1,1.728444,75,50,rastrigin,3,0.008129,0.121401,0.122146,0.205207,0.896085
roulette wheel,20,1,0.669452,75,50,rastrigin,3,0.000027,0.000580,0.000589,0.002026,0.898235
