selection,limit,mutation_dims,phi0,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,90,1,0.774630,75,50,rosenbrock,3,0.002817,0.015677,0.019032,0.043659,0.950080
roulette wheel,60,1,1.859271,75,50,rosenbrock,3,0.006443,0.087084,0.123908,0.118079,0.718000
roulette wheel,60,1,1.606822,75,50,rosenbrock,3,0.004003,0.083476,0.101356,0.127105,0.728535
roulette wheel,50,1,1.493759,75,50,rosenbrock,3,0.001645,0.058863,0.071378,0.065244,0.661660
roulette wheel,70,1,0.578555,75,50,rosenbrock,3,0.002922,0.034353,0.031028,0.038456,0.738835
roulette wheel,70,1,1.037155,75,50,rosenbrock,3,0.010441,0.061605,0.070645,0.107807,0.639865
roulette wheel,70,1,0.669452,75,50,rosenbrock,3,0.000251,0.019133,0.019666,0.022317,0.727575
roulette wheel,90,1,1.037155,75,50,rosenbrock,3,0.003435,0.030365,0.026870,0.076508,0.647105
roulette wheel,70,1,1.200103,75,50,rosenbrock,3,0.002070,0.040151,0.040983,0.057438,0.733295
roulette wheel,10,1,0.896332,75,50,rosenbrock,3,0.011616,0.115294,0.136548,0.150267,0.747740
roulette wheel,70,1,1.606822,75,50,rosenbrock,3,0.007857,0.068594,0.088773,0.115713,0.843490
roulette wheel,80,1,0.500000,75,50,rosenbrock,3,0.000408,0.027105,0.033842,0.044149,0.725060
roulette wheel,80,1,0.578555,75,50,rosenbrock,3,0.002756,0.035369,0.029617,0.093378,0.730275
roulette wheel,60,1,1.290939,75,50,rosenbrock,3,0.004053,0.045045,0.052909,0.056446,0.720140
roulette wheel,90,1,1.200103,75,50,rosenbrock,3,0.002182,0.039127,0.042251,0.106610,0.717780
roulette wheel,80,1,1.200103,75,50,rosenbrock,3,0.008071,0.050767,0.052455,0.089169,0.650150
roulette wheel,60,1,0.964176,75,50,rosenbrock,3,0.001426,0.028603,0.022241,0.061796,0.734325
roulette wheel,10,1,1.037155,75,50,rosenbrock,3,0.006054,0.102562,0.127966,0.109712,0.734635
roulette wheel,30,1,0.622346,75,50,rosenbrock,3,0.002292,0.049731,0.065444,0.092610,0.642465
roulette wheel,80,1,1.388651,75,50,rosenbrock,3,0.012296,0.075723,0.078396,0.104406,0.724060
roulette wheel,70,1,0.622346,75,50,rosenbrock,3,0.000720,0.031678,0.040360,0.034632,0.698190
roulette wheel,90,1,1.606822,75,50,rosenbrock,3,0.004552,0.031257,0.042420,0.039053,0.734840
roulette wheel,10,1,0.537845,75,50,rosenbrock,3,0.003752,0.067027,0.066175,0.088150,0.649760
roulette wheel,40,1,1.290939,75,50,rosenbrock,3,0.002838,0.057045,0.051963,0.092370,0.645205
roulette wheel,60,1,1.493759,75,50,rosenbrock,3,0.003951,0.062137,0.078137,0.123876,0.725960
roulette wheel,10,1,1.290939,75,50,rosenbrock,3,0.045008,0.126436,0.152597,0.106311,0.735445
roulette wheel,70,1,1.115658,75,50,rosenbrock,3,0.000731,0.032711,0.039268,0.062642,0.835165
roulette wheel,10,1,0.833262,75,50,rosenbrock,3,0.055159,0.144234,0.169096,0.111842,0.992275
roulette wheel,10,1,1.728444,75,50,rosenbrock,3,0.023634,0.204259,0.224644,0.331059,0.738040
roulette wheel,20,1,0.720123,75,50,rosenbrock,3,0.002553,0.055849,0.071191,0.085117,0.641025
roulette wheel,70,1,1.493759,75,50,rosenbrock,3,0.010331,0.059036,0.055850,0.117131,0.724305
roulette wheel,20,1,0.833262,75,50,rosenbrock,3,0.004845,0.056871,0.057989,0.070054,0.659245
roulette wheel,10,1,1.493759,75,50,rosenbrock,3,0.033853,0.143603,0.153331,0.220246,0.740650
roulette wheel,20,1,0.537845,75,50,rosenbrock,3,0.003151,0.049783,0.061082,0.067574,0.664755
roulette wheel,10,1,2.000000,75,50,rosenbrock,3,0.039368,0.201242,0.264566,0.342773,0.743570
roulette wheel,20,1,1.115658,75,50,rosenbrock,3,0.002284,0.084761,0.086679,0.194799,0.655285
roulette wheel,40,1,0.896332,75,50,rosenbrock,3,0.008702,0.054100,0.062294,0.061370,0.644640
roulette wheel,30,1,0.537845,75,50,rosenbrock,3,0.003437,0.027401,0.036001,0.079824,0.646525
roulette wheel,20,1,2.000000,75,50,rosenbrock,3,0.049106,0.146922,0.157360,0.257229,0.644340
roulette wheel,20,1,0.622346,75,50,rosenbrock,3,0.007782,0.044019,0.057081,0.083132,0.728755
roulette wheel,20,1,0.964176,75,50,rosenbrock,3,0.003786,0.066983,0.090665,0.078756,0.736425
roulette wheel,40,1,1.037155,75,50,rosenbrock,3,0.018516,0.054050,0.063974,0.085560,0.722380
roulette wheel,40,1,0.578555,75,50,rosenbrock,3,0.007341,0.030605,0.033882,0.062826,0.736310
roulette wheel,40,1,0.774630,75,50,rosenbrock,3,0.001479,0.033556,0.044337,0.039783,0.744570
roulette wheel,10,1,0.622346,75,50,rosenbrock,3,0.004117,0.076993,0.098043,0.055820,0.748395
roulette wheel,30,1,0.720123,75,50,rosenbrock,3,0.000682,0.037043,0.040759,0.063144,0.743785
roulette wheel,30,1,1.493759,75,50,rosenbrock,3,0.034755,0.111842,0.126731,0.070966,0.637965
roulette wheel,30,1,1.115658,75,50,rosenbrock,3,0.007113,0.051216,0.060818,0.069369,0.711575
roulette wheel,30,1,0.833262,75,50,rosenbrock,3,0.000738,0.031742,0.038006,0.078059,0.749015
roulette wheel,30,1,2.000000,75,50,rosenbrock,3,0.041542,0.157153,0.162056,0.180504,0.647470
roulette wheel,30,1,1.290939,75,50,rosenbrock,3,0.006311,0.100038,0.119407,0.115032,0.644975
roulette wheel,50,1,1.606822,75,50,rosenbrock,3,0.007150,0.079351,0.099063,0.119057,0.637020
roulette wheel,60,1,0.578555,75,50,rosenbrock,3,0.001969,0.023469,0.028885,0.045408,0.639555
roulette wheel,50,1,0.896332,75,50,rosenbrock,3,0.002025,0.046587,0.050250,0.068057,0.740565
roulette wheel,30,1,1.728444,75,50,rosenbrock,3,0.004323,0.083162,0.082750,0.091597,0.735195
roulette wheel,90,1,0.669452,75,50,rosenbrock,3,0.001646,0.019036,0.017788,0.035612,0.732415
roulette wheel,40,1,2.000000,75,50,rosenbrock,3,0.000530,0.091896,0.101193,0.221286,0.660070
roulette wheel,110,1,1.388651,75,50,rosenbrock,3,0.001579,0.032488,0.035710,0.047012,0.758165
roulette wheel,110,1,1.859271,75,50,rosenbrock,3,0.002854,0.055468,0.051160,0.113415,0.712970
roulette wheel,50,1,0.720123,75,50,rosenbrock,3,0.008390,0.038135,0.046650,0.072298,0.638315
roulette wheel,40,1,0.964176,75,50,rosenbrock,3,0.000466,0.039263,0.049870,0.066258,0.804315
roulette wheel,40,1,1.728444,75,50,rosenbrock,3,0.011061,0.067424,0.083891,0.091145,0.728795
roulette wheel,40,1,1.493759,75,50,rosenbrock,3,0.011273,0.060873,0.057054,0.088799,0.734705
roulette wheel,10,1,0.720123,75,50,rosenbrock,3,0.009678,0.064503,0.081101,0.076560,0.740330
roulette wheel,70,1,0.500000,75,50,rosenbrock,3,0.000431,0.029803,0.032125,0.045314,0.739465
roulette wheel,50,1,0.833262,75,50,rosenbrock,3,0.000946,0.036324,0.046984,0.043484,0.673155
roulette wheel,50,1,1.115658,75,50,rosenbrock,3,0.002148,0.024314,0.033572,0.068469,0.639055
roulette wheel,50,1,2.000000,75,50,rosenbrock,3,0.009829,0.118089,0.122116,0.164708,0.636175
roulette wheel,120,1,0.774630,75,50,rosenbrock,3,0.001774,0.028292,0.030295,0.039394,0.741065
roulette wheel,70,1,0.774630,75,50,rosenbrock,3,0.002838,0.019134,0.025033,0.032755,0.737140
roulette wheel,60,1,0.537845,75,50,rosenbrock,3,0.000443,0.017398,0.018519,0.028493,0.647575
roulette wheel,50,1,0.964176,75,50,rosenbrock,3,0.004876,0.021767,0.025433,0.058578,0.743495
roulette wheel,90,1,1.388651,75,50,rosenbrock,3,0.003390,0.045713,0.041898,0.052075,0.655520
roulette wheel,90,1,0.833262,75,50,rosenbrock,3,0.003538,0.015245,0.016935,0.028689,0.644300
roulette wheel,70,1,1.859271,75,50,rosenbrock,3,0.001983,0.069983,0.091607,0.185123,0.725600
roulette wheel,60,1,0.833262,75,50,rosenbrock,3,0.005935,0.050891,0.067223,0.048394,0.732245
roulette wheel,80,1,0.669452,75,50,rosenbrock,3,0.002465,0.024564,0.033854,0.026787,0.733595
roulette wheel,60,1,1.115658,75,50,rosenbrock,3,0.006048,0.031707,0.037064,0.076927,0.740600
roulette wheel,80,1,0.774630,75,50,rosenbrock,3,0.001172,0.038119,0.045574,0.044614,0.736215
roulette wheel,80,1,1.037155,75,50,rosenbrock,3,0.000512,0.041208,0.042935,0.081047,0.728410
roulette wheel,60,1,2.000000,75,50,rosenbrock,3,0.016820,0.094728,0.112833,0.154513,0.715070
roulette wheel,60,1,1.728444,75,50,rosenbrock,3,0.010689,0.055089,0.065205,0.079746,0.722510
roulette wheel,70,1,0.720123,75,50,rosenbrock,3,0.003143,0.024709,0.023907,0.041485,0.733285
roulette wheel,120,1,1.200103,75,50,rosenbrock,3,0.002591,0.048779,0.057614,0.076266,1.200055
