teaching_factor,outstanding_percentage,n_leaders,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
0.928571,0.642857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.007260,9.753080
0.928571,0.714286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.116159,9.872170
0.928571,0.785714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.015322,9.975590
0.928571,0.857143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.235116,10.347120
0.928571,0.928571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.060027,11.383130
0.928571,1.000000,3,150,50,rosenbrock,3,0.000000,0.000001,0.000000,0.324074,10.393730
1.071429,0.000000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.002094,8.702900
1.071429,0.071429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.870480
1.071429,0.142857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.919430
1.071429,0.214286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.964500
1.071429,0.285714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.098020
1.071429,0.357143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.243180
1.071429,0.428571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.638900
1.071429,0.500000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,10.469170
1.071429,0.571429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000052,9.752850
1.071429,0.642857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000108,9.913280
1.071429,0.714286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.015056,10.101000
1.071429,0.785714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.160205,10.162040
1.071429,0.857143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.035311,10.258470
1.071429,0.928571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.154759,10.212640
1.071429,1.000000,3,150,50,rosenbrock,3,0.000000,0.000007,0.000001,0.101646,10.147310
1.214286,0.000000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.097377,8.514020
1.214286,0.071429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000210,8.652610
1.214286,0.142857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.875180
1.214286,0.214286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.103630
1.214286,0.285714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.232780
1.214286,0.357143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000005,9.371310
1.214286,0.428571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.520020
1.214286,0.500000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000001,9.692070
1.214286,0.571429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.659090
1.214286,0.642857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000005,9.789140
1.214286,0.714286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000058,9.897040
1.214286,0.785714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.942640
1.214286,0.857143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.012260,10.115850
1.214286,0.928571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000910,10.336750
1.214286,1.000000,3,150,50,rosenbrock,3,0.000000,0.005076,0.000557,0.106606,10.238000
1.357143,0.000000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.101096,8.633260
1.357143,0.071429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.956740
1.357143,0.142857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000002,9.492330
1.357143,0.214286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.008933,9.086780
1.357143,0.285714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.066580
1.357143,0.357143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.215880
1.357143,0.428571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.294090
1.357143,0.500000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.560570
1.357143,0.571429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.619640
1.357143,0.642857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,10.044220
1.357143,0.714286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000001,10.048700
1.357143,0.785714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.002900,10.227980
1.357143,0.857143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000001,10.307190
1.357143,0.928571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000410,10.383720
1.357143,1.000000,3,150,50,rosenbrock,3,0.000000,0.011336,0.005717,0.313190,10.101500
1.500000,0.000000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.106015,8.498780
1.500000,0.071429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.017081,8.665810
1.500000,0.142857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.825000
1.500000,0.214286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.412180
1.500000,0.285714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.106110
1.500000,0.357143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.310820
1.500000,0.428571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.463540
1.500000,0.500000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.576000
1.500000,0.571429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.721490
1.500000,0.642857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.897470
1.500000,0.714286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,10.510930
1.500000,0.785714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.005970,10.450350
1.500000,0.857143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000005,10.175190
1.500000,0.928571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000582,10.229130
1.500000,1.000000,3,150,50,rosenbrock,3,0.000000,0.011191,0.006125,0.180803,10.096580
1.642857,0.000000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.003128,8.701650
1.642857,0.071429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000005,9.555150
1.642857,0.142857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.217478,9.017580
1.642857,0.214286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.002347,9.243950
1.642857,0.285714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.269180
1.642857,0.357143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.322540
1.642857,0.428571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.461070
1.642857,0.500000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.520950
1.642857,0.571429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.617910
1.642857,0.642857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.763930
1.642857,0.714286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.885990
1.642857,0.785714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,10.179610
1.642857,0.857143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.001210,10.348320
1.642857,0.928571,3,150,50,rosenbrock,3,0.000000,0.000001,0.000000,0.006607,10.436490
1.642857,1.000000,3,150,50,rosenbrock,3,0.000001,0.016571,0.013729,0.068838,10.219620
1.785714,0.000000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000584,8.593220
1.785714,0.071429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.008610,8.676670
1.785714,0.142857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000001,8.789090
1.785714,0.214286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.908520
1.785714,0.285714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.115220
1.785714,0.357143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.813880
1.785714,0.428571,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.042017,9.481350
1.785714,0.500000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.642270
1.785714,0.571429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.052676,9.859930
1.785714,0.642857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000096,9.950450
1.785714,0.714286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,10.078340
1.785714,0.785714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000003,10.142210
1.785714,0.857143,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000001,10.203430
1.785714,0.928571,3,150,50,rosenbrock,3,0.000000,0.000001,0.000001,0.000236,10.148990
1.785714,1.000000,3,150,50,rosenbrock,3,0.000001,0.019145,0.021757,0.087353,10.120810
1.928571,0.000000,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.062947,8.510210
1.928571,0.071429,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,8.626320
1.928571,0.142857,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.004707,8.900030
1.928571,0.214286,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000005,9.140190
1.928571,0.285714,3,150,50,rosenbrock,3,0.000000,0.000000,0.000000,0.000000,9.196620
