selection,limit,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
tournament 3,195,100,50,rosenbrock,3,0.003203,0.028128,0.028024,0.058722,0.240885
tournament 3,110,100,50,rosenbrock,3,0.005044,0.027397,0.030096,0.023970,0.243205
tournament 3,80,100,50,rosenbrock,3,0.003966,0.027954,0.035640,0.036861,0.383090
tournament 3,105,100,50,rosenbrock,3,0.001756,0.024316,0.029804,0.029866,0.332665
tournament 3,115,100,50,rosenbrock,3,0.002282,0.034289,0.035005,0.042475,0.224475
tournament 3,120,100,50,rosenbrock,3,0.009922,0.032427,0.041420,0.027324,0.255330
tournament 3,140,100,50,rosenbrock,3,0.003806,0.030994,0.034724,0.056398,0.223340
tournament 3,130,100,50,rosenbrock,3,0.005001,0.018107,0.017810,0.053221,0.301565
tournament 3,135,100,50,rosenbrock,3,0.001864,0.016444,0.018399,0.027475,0.300420
tournament 3,155,100,50,rosenbrock,3,0.001838,0.027385,0.037671,0.105676,0.237690
tournament 3,145,100,50,rosenbrock,3,0.000018,0.021909,0.030570,0.022685,0.261965
tournament 3,160,100,50,rosenbrock,3,0.007971,0.026711,0.025755,0.033159,0.266565
tournament 3,165,100,50,rosenbrock,3,0.005780,0.028046,0.030994,0.066193,0.262180
tournament 3,125,100,50,rosenbrock,3,0.000819,0.022258,0.027944,0.030251,0.398005
tournament 3,60,100,50,rosenbrock,3,0.001364,0.025738,0.026793,0.034622,0.412065
tournament 3,180,100,50,rosenbrock,3,0.001685,0.022224,0.025952,0.023367,0.325130
tournament 5,15,100,50,rosenbrock,3,0.007381,0.093263,0.115487,0.089837,0.308125
tournament 5,100,100,50,rosenbrock,3,0.001294,0.029669,0.024379,0.038839,0.281245
tournament 5,115,100,50,rosenbrock,3,0.000910,0.023524,0.029051,0.028444,0.279360
tournament 5,5,100,50,rosenbrock,3,0.043086,0.321646,0.376419,0.415432,0.397825
tournament 3,100,100,50,rosenbrock,3,0.002014,0.020138,0.021109,0.021479,0.425425
tournament 5,120,100,50,rosenbrock,3,0.001232,0.022187,0.027531,0.049387,0.278245
tournament 3,200,100,50,rosenbrock,3,0.006481,0.030558,0.031693,0.048366,0.432335
tournament 5,125,100,50,rosenbrock,3,0.002431,0.011741,0.012445,0.042004,0.277760
tournament 5,130,100,50,rosenbrock,3,0.000784,0.016473,0.023208,0.056493,0.287425
tournament 5,90,100,50,rosenbrock,3,0.003747,0.013517,0.013831,0.051003,0.477770
tournament 5,10,100,50,rosenbrock,3,0.002866,0.258504,0.279287,0.238449,0.521580
tournament 5,95,100,50,rosenbrock,3,0.001419,0.011397,0.014479,0.022012,0.493290
tournament 5,35,100,50,rosenbrock,3,0.009083,0.059707,0.055128,0.088317,0.459715
tournament 3,170,100,50,rosenbrock,3,0.003407,0.034299,0.041158,0.046281,0.656400
tournament 5,70,100,50,rosenbrock,3,0.000514,0.023052,0.025548,0.034519,0.301830
tournament 5,45,100,50,rosenbrock,3,0.006530,0.049122,0.051721,0.060799,0.511050
tournament 5,145,100,50,rosenbrock,3,0.001677,0.029531,0.026069,0.051334,0.310285
tournament 3,175,100,50,rosenbrock,3,0.001702,0.014940,0.019548,0.017626,0.698400
tournament 3,185,100,50,rosenbrock,3,0.008961,0.026807,0.034962,0.063441,0.697650
tournament 5,150,100,50,rosenbrock,3,0.000247,0.011465,0.011626,0.056767,0.313150
tournament 5,155,100,50,rosenbrock,3,0.004874,0.015122,0.017871,0.034769,0.303120
tournament 3,190,100,50,rosenbrock,3,0.000336,0.022237,0.024154,0.060436,0.754455
tournament 5,160,100,50,rosenbrock,3,0.000136,0.020007,0.022462,0.042318,0.396270
tournament 5,110,100,50,rosenbrock,3,0.002492,0.025103,0.027416,0.064055,0.334380
tournament 5,50,100,50,rosenbrock,3,0.000860,0.022080,0.027004,0.026558,0.320765
tournament 5,165,100,50,rosenbrock,3,0.008252,0.022010,0.027133,0.018155,0.433800
tournament 5,135,100,50,rosenbrock,3,0.003037,0.025322,0.027714,0.069173,0.567970
tournament 5,30,100,50,rosenbrock,3,0.003945,0.041312,0.048765,0.051675,0.449410
tournament 5,40,100,50,rosenbrock,3,0.004774,0.046940,0.053884,0.052575,0.387905
tournament 5,180,100,50,rosenbrock,3,0.001177,0.015257,0.017096,0.033745,0.469265
tournament 5,75,100,50,rosenbrock,3,0.002164,0.022016,0.026897,0.051296,0.282590
tournament 5,85,100,50,rosenbrock,3,0.002595,0.020590,0.021866,0.029279,0.283080
tournament 5,65,100,50,rosenbrock,3,0.003452,0.022139,0.019946,0.034621,0.328875
tournament 5,20,100,50,rosenbrock,3,0.021221,0.090856,0.089365,0.112935,0.305590
tournament 5,170,100,50,rosenbrock,3,0.003421,0.012247,0.014457,0.027846,0.311725
tournament 5,200,100,50,rosenbrock,3,0.000913,0.023404,0.033054,0.032154,0.391425
tournament 5,60,100,50,rosenbrock,3,0.001896,0.027950,0.036948,0.044075,0.420255
tournament 5,80,100,50,rosenbrock,3,0.007361,0.036022,0.037776,0.050227,0.419900
tournament 5,140,100,50,rosenbrock,3,0.001136,0.018397,0.025314,0.035744,0.433925
tournament 5,190,100,50,rosenbrock,3,0.001761,0.021873,0.027288,0.033816,0.272590
tournament 5,175,100,50,rosenbrock,3,0.002525,0.018482,0.021837,0.025715,0.352155
tournament 5,185,100,50,rosenbrock,3,0.000918,0.011726,0.012571,0.040214,0.326130
tournament 5,105,100,50,rosenbrock,3,0.001388,0.021316,0.023759,0.027746,0.406315
tournament 5,25,100,50,rosenbrock,3,0.016068,0.054860,0.048918,0.089057,0.461230
tournament 5,195,100,50,rosenbrock,3,0.003349,0.027293,0.031970,0.026724,0.307430
tournament 5,55,100,50,rosenbrock,3,0.000427,0.026590,0.033171,0.034160,0.347285
roulette wheel,25,300,150,rosenbrock,6,0.020582,0.097029,0.112401,0.093199,3.354750
roulette wheel,20,300,150,rosenbrock,6,0.015818,0.086092,0.091864,0.073820,3.445440
roulette wheel,35,300,150,rosenbrock,6,0.023888,0.085839,0.095844,0.049457,3.461040
roulette wheel,55,300,150,rosenbrock,6,0.005652,0.036867,0.043448,0.042916,3.399150
roulette wheel,90,300,150,rosenbrock,6,0.003600,0.020857,0.021740,0.021932,3.246340
roulette wheel,95,300,150,rosenbrock,6,0.004607,0.026350,0.033443,0.027908,3.277350
roulette wheel,70,300,150,rosenbrock,6,0.010788,0.038000,0.044845,0.026342,3.764920
roulette wheel,80,300,150,rosenbrock,6,0.003588,0.015385,0.016773,0.014760,3.978085
roulette wheel,45,300,150,rosenbrock,6,0.010518,0.037292,0.045410,0.046546,4.585755
roulette wheel,65,300,150,rosenbrock,6,0.008306,0.038068,0.049169,0.035706,4.879350
roulette wheel,100,300,150,rosenbrock,6,0.005828,0.019854,0.023053,0.018265,4.811855
roulette wheel,15,300,150,rosenbrock,6,0.017736,0.166802,0.200947,0.154556,5.538110
roulette wheel,120,300,150,rosenbrock,6,0.004035,0.018221,0.022531,0.022104,3.178905
roulette wheel,10,300,150,rosenbrock,6,0.042919,0.225204,0.268991,0.153352,5.587850
roulette wheel,5,300,150,rosenbrock,6,0.088160,0.421696,0.493823,0.483294,6.515055
tournament 3,5,300,150,rosenbrock,6,1.955336,10.139522,12.293374,7.636728,2.979880
roulette wheel,170,300,150,rosenbrock,6,0.003943,0.013259,0.014722,0.011620,3.133465
roulette wheel,185,300,150,rosenbrock,6,0.004366,0.017953,0.019975,0.011782,3.176285
roulette wheel,175,300,150,rosenbrock,6,0.001933,0.014617,0.015006,0.022735,3.232840
roulette wheel,130,300,150,rosenbrock,6,0.003734,0.015962,0.016557,0.025826,3.412515
roulette wheel,75,300,150,rosenbrock,6,0.004800,0.024446,0.023973,0.033506,6.709445
roulette wheel,85,300,150,rosenbrock,6,0.010386,0.025069,0.028052,0.020069,6.697735
roulette wheel,105,300,150,rosenbrock,6,0.005352,0.019961,0.022962,0.011508,6.550465
roulette wheel,110,300,150,rosenbrock,6,0.003473,0.023900,0.025403,0.027980,6.421300
roulette wheel,30,300,150,rosenbrock,6,0.010444,0.099048,0.113859,0.069982,7.311190
roulette wheel,40,300,150,rosenbrock,6,0.040770,0.077380,0.084200,0.030609,7.296905
roulette wheel,50,300,150,rosenbrock,6,0.009341,0.045861,0.049540,0.038624,7.417765
roulette wheel,135,300,150,rosenbrock,6,0.004255,0.012290,0.012327,0.010869,4.100750
tournament 3,10,300,150,rosenbrock,6,0.728297,2.931709,3.318595,1.130028,2.978950
roulette wheel,60,300,150,rosenbrock,6,0.015212,0.037681,0.041730,0.034361,7.510310
tournament 3,15,300,150,rosenbrock,6,0.246157,0.669496,0.714619,0.340245,2.870445
roulette wheel,155,300,150,rosenbrock,6,0.002602,0.015419,0.012877,0.020183,4.634840
tournament 3,25,300,150,rosenbrock,6,0.054301,0.195199,0.214980,0.120094,2.594090
roulette wheel,160,300,150,rosenbrock,6,0.003771,0.013397,0.016993,0.011241,5.006135
roulette wheel,165,300,150,rosenbrock,6,0.004616,0.015609,0.019426,0.012520,5.145510
roulette wheel,145,300,150,rosenbrock,6,0.003843,0.021502,0.025477,0.019915,5.391250
roulette wheel,125,300,150,rosenbrock,6,0.001298,0.018823,0.020864,0.024191,5.438220
roulette wheel,180,300,150,rosenbrock,6,0.001278,0.010579,0.010094,0.020599,5.429770
roulette wheel,190,300,150,rosenbrock,6,0.000487,0.011533,0.013680,0.023562,5.452305
roulette wheel,140,300,150,rosenbrock,6,0.004183,0.015941,0.020204,0.019662,5.606135
roulette wheel,115,300,150,rosenbrock,6,0.002966,0.013428,0.016220,0.013715,6.895005
tournament 3,35,300,150,rosenbrock,6,0.021476,0.096441,0.113496,0.053620,2.505480
roulette wheel,150,300,150,rosenbrock,6,0.000580,0.009991,0.012024,0.014936,5.706930
tournament 3,40,300,150,rosenbrock,6,0.027166,0.056807,0.064039,0.035855,2.580600
tournament 3,50,300,150,rosenbrock,6,0.020244,0.041907,0.048638,0.032994,2.526345
tournament 3,55,300,150,rosenbrock,6,0.010414,0.042150,0.046349,0.026964,2.553155
roulette wheel,195,300,150,rosenbrock,6,0.001218,0.013272,0.014892,0.010380,6.104630
tournament 3,60,300,150,rosenbrock,6,0.013958,0.037387,0.041882,0.043278,3.168310
roulette wheel,200,300,150,rosenbrock,6,0.001723,0.013925,0.013233,0.028647,5.853785
tournament 3,20,300,150,rosenbrock,6,0.082224,0.355188,0.418157,0.241211,4.788520
tournament 3,65,300,150,rosenbrock,6,0.006364,0.032195,0.038142,0.021032,2.783765
tournament 3,70,300,150,rosenbrock,6,0.001404,0.023265,0.028279,0.017184,2.599545
tournament 3,45,300,150,rosenbrock,6,0.019405,0.044258,0.049422,0.030083,3.794115
tournament 3,30,300,150,rosenbrock,6,0.037613,0.151664,0.182328,0.072058,4.060490
tournament 3,80,300,150,rosenbrock,6,0.010039,0.028309,0.035714,0.020552,2.715125
tournament 3,75,300,150,rosenbrock,6,0.004040,0.022192,0.026813,0.019993,3.075525
tournament 3,105,300,150,rosenbrock,6,0.007285,0.023153,0.021109,0.021737,2.437760
tournament 3,100,300,150,rosenbrock,6,0.007570,0.023877,0.028816,0.019006,2.501745
tournament 3,110,300,150,rosenbrock,6,0.006625,0.026058,0.030083,0.028526,2.494625
tournament 3,120,300,150,rosenbrock,6,0.006537,0.026446,0.030962,0.015911,2.500550
tournament 3,125,300,150,rosenbrock,6,0.003571,0.029714,0.034888,0.020020,2.923270
tournament 3,135,300,150,rosenbrock,6,0.005647,0.030224,0.031296,0.020524,2.679710
tournament 3,140,300,150,rosenbrock,6,0.008202,0.028343,0.029624,0.015891,2.485905
tournament 3,130,300,150,rosenbrock,6,0.003311,0.025944,0.025075,0.025778,3.562660
tournament 3,90,300,150,rosenbrock,6,0.007446,0.035763,0.046214,0.022502,4.362700
tournament 3,180,300,150,rosenbrock,6,0.002668,0.023108,0.028124,0.015797,2.658920
tournament 3,115,300,150,rosenbrock,6,0.008212,0.027505,0.028368,0.023125,4.542125
tournament 3,95,300,150,rosenbrock,6,0.002035,0.021968,0.026273,0.023911,4.905345
tournament 3,85,300,150,rosenbrock,6,0.009950,0.026365,0.028511,0.029778,5.070050
tournament 3,185,300,150,rosenbrock,6,0.005088,0.026885,0.030886,0.017132,2.450605
tournament 3,195,300,150,rosenbrock,6,0.003862,0.020932,0.023828,0.021884,2.480180
tournament 3,200,300,150,rosenbrock,6,0.003100,0.024895,0.027338,0.025465,2.514725
tournament 3,165,300,150,rosenbrock,6,0.004536,0.025803,0.031881,0.017301,3.678240
tournament 3,160,300,150,rosenbrock,6,0.006112,0.017554,0.020426,0.020228,3.824685
tournament 3,145,300,150,rosenbrock,6,0.005152,0.019142,0.021002,0.025287,4.076730
tournament 3,155,300,150,rosenbrock,6,0.002929,0.027823,0.031642,0.018279,3.858140
tournament 3,170,300,150,rosenbrock,6,0.008580,0.021431,0.024163,0.014124,3.830910
tournament 3,175,300,150,rosenbrock,6,0.001457,0.023427,0.025143,0.022995,3.934240
tournament 3,150,300,150,rosenbrock,6,0.003330,0.018969,0.022426,0.016211,4.219255
tournament 5,5,300,150,rosenbrock,6,5.761770,10.182855,12.257637,4.182740,3.490660
tournament 5,35,300,150,rosenbrock,6,0.061865,0.117917,0.138148,0.068769,3.044485
tournament 5,15,300,150,rosenbrock,6,0.547494,0.993904,1.074119,0.573585,3.497950
tournament 5,30,300,150,rosenbrock,6,0.051565,0.125463,0.123521,0.087822,3.480315
tournament 3,190,300,150,rosenbrock,6,0.007008,0.022397,0.022825,0.023882,4.554295
tournament 5,50,300,150,rosenbrock,6,0.004522,0.034571,0.045111,0.020319,2.905245
tournament 5,10,300,150,rosenbrock,6,0.722422,2.847517,3.400890,1.414609,4.232370
tournament 5,60,300,150,rosenbrock,6,0.013505,0.033828,0.040617,0.027949,2.939375
tournament 5,65,300,150,rosenbrock,6,0.003857,0.028229,0.032297,0.020533,2.979730
tournament 5,20,300,150,rosenbrock,6,0.052829,0.359604,0.380721,0.225910,4.751870
tournament 5,75,300,150,rosenbrock,6,0.009907,0.029980,0.028832,0.024926,2.940040
tournament 5,40,300,150,rosenbrock,6,0.026915,0.094893,0.110633,0.052534,3.833350
tournament 5,90,300,150,rosenbrock,6,0.005018,0.019169,0.017928,0.016274,2.952180
tournament 5,25,300,150,rosenbrock,6,0.034156,0.209760,0.246017,0.137522,5.288580
tournament 5,95,300,150,rosenbrock,6,0.001417,0.015769,0.019268,0.017767,3.720865
tournament 5,70,300,150,rosenbrock,6,0.010867,0.027519,0.032811,0.020398,4.028720
tournament 5,55,300,150,rosenbrock,6,0.010911,0.044561,0.054967,0.027270,4.428910
tournament 5,80,300,150,rosenbrock,6,0.002275,0.020698,0.026580,0.018636,4.348720
tournament 5,115,300,150,rosenbrock,6,0.001817,0.014690,0.018080,0.013593,3.140165
tournament 5,105,300,150,rosenbrock,6,0.008445,0.022817,0.025298,0.020589,3.595875
tournament 5,85,300,150,rosenbrock,6,0.002355,0.025711,0.025800,0.028931,4.517785
tournament 5,45,300,150,rosenbrock,6,0.019379,0.055132,0.062188,0.028572,5.874740
tournament 5,130,300,150,rosenbrock,6,0.003529,0.020179,0.024119,0.016656,3.004810
tournament 5,110,300,150,rosenbrock,6,0.006723,0.021139,0.021172,0.023708,4.218850
tournament 5,125,300,150,rosenbrock,6,0.004791,0.022510,0.028653,0.013888,3.333180
tournament 5,100,300,150,rosenbrock,6,0.001626,0.016774,0.018052,0.016671,4.783675
tournament 5,135,300,150,rosenbrock,6,0.006183,0.015403,0.018818,0.012474,3.046940
tournament 5,140,300,150,rosenbrock,6,0.002950,0.010634,0.010878,0.016921,3.717990
tournament 5,155,300,150,rosenbrock,6,0.001991,0.022433,0.030068,0.016752,3.747670
tournament 5,180,300,150,rosenbrock,6,0.002080,0.013522,0.015984,0.012750,3.219775
tournament 5,165,300,150,rosenbrock,6,0.001331,0.013169,0.016504,0.012292,3.773665
tournament 5,120,300,150,rosenbrock,6,0.002342,0.016341,0.018637,0.021401,5.096930
tournament 5,185,300,150,rosenbrock,6,0.005769,0.016916,0.016838,0.020443,2.814795
tournament 5,160,300,150,rosenbrock,6,0.004941,0.014103,0.016138,0.016576,3.889375
tournament 5,145,300,150,rosenbrock,6,0.004242,0.014321,0.016832,0.015250,4.030495
