selection,limit,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,5,100,50,rastrigin,3,0.005501,0.232910,0.255395,0.329354,0.692820
roulette wheel,2,100,50,rastrigin,3,0.118153,0.906408,1.143928,0.518206,0.769015
roulette wheel,7,100,50,rastrigin,3,0.006447,0.153979,0.139370,0.237328,0.735325
roulette wheel,3,100,50,rastrigin,3,0.218370,0.753664,0.907214,0.478246,0.806705
roulette wheel,4,100,50,rastrigin,3,0.125013,0.548417,0.491435,0.426127,0.844395
roulette wheel,1,100,50,rastrigin,3,0.268593,1.389742,1.506543,0.588520,0.914835
roulette wheel,6,100,50,rastrigin,3,0.001520,0.074583,0.083598,0.221467,0.876735
roulette wheel,8,100,50,rastrigin,3,0.008274,0.093197,0.095683,0.139841,0.823570
roulette wheel,13,100,50,rastrigin,3,0.000206,0.004129,0.005179,0.016826,0.614325
roulette wheel,12,100,50,rastrigin,3,0.001205,0.005082,0.004908,0.011712,0.644520
roulette wheel,15,100,50,rastrigin,3,0.000055,0.000758,0.000960,0.004946,0.621910
roulette wheel,9,100,50,rastrigin,3,0.002323,0.031419,0.030622,0.061279,0.845045
tournament 3,2,100,50,rastrigin,3,0.169716,1.038594,1.297464,0.496700,0.693985
roulette wheel,10,100,50,rastrigin,3,0.000057,0.020678,0.024280,0.058911,0.857215
roulette wheel,11,100,50,rastrigin,3,0.000940,0.017910,0.018250,0.112490,0.969180
roulette wheel,16,100,50,rastrigin,3,0.000027,0.000350,0.000415,0.000781,0.977955
tournament 3,4,100,50,rastrigin,3,0.087919,0.685580,0.881308,0.493564,0.602415
roulette wheel,17,100,50,rastrigin,3,0.000025,0.000255,0.000304,0.001083,0.609665
roulette wheel,19,100,50,rastrigin,3,0.000004,0.000134,0.000135,0.000200,0.600825
roulette wheel,20,100,50,rastrigin,3,0.000000,0.000104,0.000143,0.001329,0.624870
roulette wheel,14,100,50,rastrigin,3,0.000263,0.002763,0.003288,0.008543,0.634250
tournament 3,1,100,50,rastrigin,3,0.076900,1.358778,1.485369,0.637830,0.873845
tournament 3,3,100,50,rastrigin,3,0.195450,0.855049,1.123866,0.546796,0.587755
tournament 3,6,100,50,rastrigin,3,0.019386,0.352058,0.371076,0.388073,0.586035
tournament 3,5,100,50,rastrigin,3,0.025900,0.546396,0.649393,0.356354,0.657380
tournament 3,12,100,50,rastrigin,3,0.000282,0.007394,0.008642,0.026151,0.724040
tournament 3,7,100,50,rastrigin,3,0.013441,0.109741,0.124561,0.122834,0.544105
tournament 3,8,100,50,rastrigin,3,0.008934,0.107460,0.115190,0.144514,0.698950
tournament 3,10,100,50,rastrigin,3,0.002853,0.034142,0.034629,0.061761,0.549920
tournament 3,9,100,50,rastrigin,3,0.005411,0.049502,0.056785,0.091958,0.583670
tournament 3,11,100,50,rastrigin,3,0.000809,0.029992,0.036624,0.049937,0.547885
tournament 3,13,100,50,rastrigin,3,0.000164,0.004252,0.004761,0.008198,0.552595
tournament 3,15,100,50,rastrigin,3,0.000000,0.001383,0.001594,0.003001,0.585660
tournament 3,14,100,50,rastrigin,3,0.000040,0.003824,0.003881,0.005820,0.620160
roulette wheel,18,100,50,rastrigin,3,0.000002,0.000392,0.000456,0.002617,0.841820
tournament 3,17,100,50,rastrigin,3,0.000013,0.000844,0.000833,0.002689,0.534365
tournament 3,19,100,50,rastrigin,3,0.000002,0.000208,0.000193,0.000758,0.503970
tournament 3,18,100,50,rastrigin,3,0.000015,0.000240,0.000243,0.001363,0.554335
tournament 3,16,100,50,rastrigin,3,0.000153,0.001233,0.001390,0.013727,0.680885
tournament 3,20,100,50,rastrigin,3,0.000004,0.000133,0.000156,0.000902,0.534970
tournament 5,10,100,50,rastrigin,3,0.001678,0.043607,0.049174,0.091450,0.557555
tournament 5,13,100,50,rastrigin,3,0.001293,0.010444,0.007729,0.026279,0.607730
tournament 5,3,100,50,rastrigin,3,0.028469,0.723241,0.896933,0.463907,0.634645
tournament 5,4,100,50,rastrigin,3,0.072729,0.497365,0.568358,0.416671,0.642985
tournament 5,5,100,50,rastrigin,3,0.057358,0.436164,0.575762,0.435667,0.593600
tournament 5,8,100,50,rastrigin,3,0.002359,0.091370,0.101680,0.350873,0.586075
tournament 5,6,100,50,rastrigin,3,0.062790,0.294085,0.312754,0.324525,0.622210
tournament 5,7,100,50,rastrigin,3,0.018612,0.174310,0.222486,0.304531,0.651560
tournament 5,9,100,50,rastrigin,3,0.003731,0.061374,0.068485,0.212632,0.638460
tournament 5,20,100,50,rastrigin,3,0.000004,0.000174,0.000167,0.003697,0.635985
tournament 5,12,100,50,rastrigin,3,0.000950,0.009695,0.010695,0.040989,0.578090
tournament 5,11,100,50,rastrigin,3,0.000549,0.022659,0.031228,0.033775,0.630130
tournament 5,14,100,50,rastrigin,3,0.000008,0.005511,0.006993,0.013819,0.547440
tournament 5,15,100,50,rastrigin,3,0.000046,0.001457,0.001677,0.001281,0.544720
tournament 5,2,100,50,rastrigin,3,0.092571,1.054394,1.221220,0.566317,0.683410
tournament 5,16,100,50,rastrigin,3,0.000015,0.002459,0.003250,0.014777,0.558165
tournament 5,17,100,50,rastrigin,3,0.000164,0.001258,0.001123,0.002530,0.541645
tournament 5,18,100,50,rastrigin,3,0.000006,0.000546,0.000663,0.001130,0.558560
tournament 5,19,100,50,rastrigin,3,0.000006,0.000231,0.000170,0.002846,0.558095
tournament 5,1,100,50,rastrigin,3,0.383179,1.261310,1.445262,0.577982,0.723305
roulette wheel,7,300,150,rastrigin,6,0.835913,1.891794,2.301029,0.649572,9.971540
roulette wheel,8,300,150,rastrigin,6,0.029488,1.287373,1.621185,0.831220,10.392750
roulette wheel,4,300,150,rastrigin,6,1.186205,3.577218,4.045692,1.331699,10.549340
roulette wheel,5,300,150,rastrigin,6,0.294168,2.587448,3.049807,1.100280,10.965640
roulette wheel,3,300,150,rastrigin,6,2.298283,4.651563,5.026710,1.638707,11.373170
roulette wheel,18,300,150,rastrigin,6,0.000238,0.009976,0.012188,0.014417,8.255420
roulette wheel,6,300,150,rastrigin,6,1.058075,2.268967,2.591597,0.890974,11.457615
roulette wheel,9,300,150,rastrigin,6,0.268780,0.985968,1.232459,0.570887,10.002110
roulette wheel,2,300,150,rastrigin,6,4.895601,6.649541,7.007015,2.058114,12.258550
roulette wheel,17,300,150,rastrigin,6,0.001074,0.014292,0.014628,0.014128,9.131285
roulette wheel,19,300,150,rastrigin,6,0.000240,0.003608,0.003208,0.005645,8.740540
roulette wheel,14,300,150,rastrigin,6,0.016294,0.121026,0.104961,0.159604,9.413635
roulette wheel,13,300,150,rastrigin,6,0.033619,0.167374,0.192774,0.230295,9.606545
roulette wheel,10,300,150,rastrigin,6,0.105246,0.657525,0.849995,0.405205,9.661130
roulette wheel,11,300,150,rastrigin,6,0.116478,0.442765,0.463737,0.386995,9.709900
roulette wheel,15,300,150,rastrigin,6,0.001301,0.052071,0.056338,0.226434,9.702535
roulette wheel,1,300,150,rastrigin,6,6.274488,10.066085,10.971533,1.938775,12.977085
roulette wheel,12,300,150,rastrigin,6,0.007187,0.169089,0.168600,0.260383,10.028000
roulette wheel,16,300,150,rastrigin,6,0.003405,0.027309,0.031254,0.030457,10.374850
roulette wheel,20,300,150,rastrigin,6,0.000319,0.002052,0.002213,0.002865,10.503915
tournament 3,7,300,150,rastrigin,6,1.459595,2.416004,2.671137,0.670914,9.489715
tournament 3,6,300,150,rastrigin,6,0.663525,2.458225,2.937217,1.050443,9.963355
tournament 3,8,300,150,rastrigin,6,1.193289,1.768703,1.976583,0.576095,9.851040
tournament 3,16,300,150,rastrigin,6,0.014187,0.063566,0.075408,0.140051,8.627605
tournament 3,15,300,150,rastrigin,6,0.016602,0.089999,0.113280,0.165298,8.788005
tournament 3,3,300,150,rastrigin,6,3.321583,5.592534,6.139330,1.439530,11.189045
tournament 3,4,300,150,rastrigin,6,1.328182,4.267298,5.030815,1.509463,10.515890
tournament 3,9,300,150,rastrigin,6,0.456947,1.535020,1.656828,0.587327,10.436090
tournament 3,12,300,150,rastrigin,6,0.206020,0.675639,0.856117,0.479436,9.401270
tournament 3,11,300,150,rastrigin,6,0.181831,1.062623,1.240240,0.420723,9.547015
tournament 3,14,300,150,rastrigin,6,0.069731,0.227069,0.263623,0.195155,9.366070
tournament 3,5,300,150,rastrigin,6,1.369429,3.061717,3.698518,1.000419,10.990630
tournament 3,13,300,150,rastrigin,6,0.056759,0.425967,0.373442,0.460640,9.706085
tournament 3,19,300,150,rastrigin,6,0.003426,0.014813,0.017303,0.031680,9.068800
tournament 3,2,300,150,rastrigin,6,3.578850,7.026771,7.529386,1.899534,12.094705
tournament 3,17,300,150,rastrigin,6,0.007183,0.038595,0.044148,0.036302,9.928770
tournament 3,10,300,150,rastrigin,6,0.252506,1.131331,1.423720,0.442457,10.720700
tournament 3,18,300,150,rastrigin,6,0.002556,0.013727,0.016823,0.039242,9.926000
tournament 3,20,300,150,rastrigin,6,0.000107,0.002303,0.002445,0.003375,9.706910
tournament 3,1,300,150,rastrigin,6,7.138952,10.569096,11.127187,1.855601,13.984595
tournament 5,2,300,150,rastrigin,6,3.097614,6.006024,6.611412,1.895525,12.849190
tournament 5,1,300,150,rastrigin,6,4.833759,7.859044,8.838603,1.737077,14.017450
tournament 5,16,300,150,rastrigin,6,0.009941,0.102304,0.094212,0.115462,7.407825
tournament 5,11,300,150,rastrigin,6,0.280369,0.945070,1.190920,0.454553,8.242960
tournament 5,8,300,150,rastrigin,6,0.783218,1.723495,1.872920,0.629827,8.445130
tournament 5,9,300,150,rastrigin,6,0.106367,1.428348,1.613648,0.638310,8.362380
tournament 5,7,300,150,rastrigin,6,0.732809,1.790017,2.022115,0.591833,8.603115
tournament 5,17,300,150,rastrigin,6,0.003494,0.044991,0.056479,0.058970,8.016215
tournament 5,3,300,150,rastrigin,6,2.487377,4.920623,5.407660,1.275134,11.272645
