selection,limit,mutation_dims,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,15,1,100,50,rosenbrock,3,0.685568,3.036308,2.756468,4.165254,0.606045
roulette wheel,10,2,100,50,rosenbrock,3,0.299847,1.838398,2.087538,3.212865,0.636915
roulette wheel,5,2,100,50,rosenbrock,3,0.020737,1.804137,2.159566,1.757650,0.677715
roulette wheel,10,3,100,50,rosenbrock,3,0.407921,2.668676,3.794259,2.500125,0.669560
roulette wheel,5,1,100,50,rosenbrock,3,0.226961,1.039912,1.234935,1.705356,0.730320
roulette wheel,5,3,100,50,rosenbrock,3,0.014665,1.717372,1.584602,2.592105,0.731000
roulette wheel,20,1,100,50,rosenbrock,3,0.055026,2.683712,3.100344,2.791220,0.715985
roulette wheel,10,1,100,50,rosenbrock,3,0.192341,1.385473,1.567820,1.127341,0.783845
roulette wheel,25,1,100,50,rosenbrock,3,0.150410,2.598828,2.883859,8.331340,0.623360
roulette wheel,15,3,100,50,rosenbrock,3,0.289749,2.382039,2.695417,15.512374,0.763470
roulette wheel,15,2,100,50,rosenbrock,3,0.257016,3.356807,3.366318,8.971684,0.809915
roulette wheel,20,2,100,50,rosenbrock,3,0.154517,2.931492,3.485322,4.569538,0.728410
roulette wheel,20,3,100,50,rosenbrock,3,0.230751,2.805605,2.877061,6.488067,0.806075
roulette wheel,25,2,100,50,rosenbrock,3,0.169458,2.974054,3.079331,7.086512,0.753465
roulette wheel,25,3,100,50,rosenbrock,3,0.358899,2.814299,2.987588,6.558627,0.765840
roulette wheel,30,1,100,50,rosenbrock,3,0.288439,3.781272,2.892831,14.152045,0.717180
roulette wheel,30,2,100,50,rosenbrock,3,0.369274,5.994355,6.914488,8.195822,0.731290
roulette wheel,35,1,100,50,rosenbrock,3,0.774123,5.170133,4.579539,12.468671,0.623045
roulette wheel,30,3,100,50,rosenbrock,3,0.521755,2.895029,2.953518,8.731885,0.677880
roulette wheel,35,2,100,50,rosenbrock,3,0.198072,3.593396,3.534495,9.578739,0.689240
roulette wheel,40,2,100,50,rosenbrock,3,0.206861,4.921656,5.942031,13.629050,0.663910
roulette wheel,35,3,100,50,rosenbrock,3,0.102614,3.456265,4.144723,7.363919,0.692760
roulette wheel,40,1,100,50,rosenbrock,3,0.344796,5.988539,5.605131,17.750418,0.716775
roulette wheel,100,3,100,50,rosenbrock,3,0.095479,5.650294,5.400728,17.595776,0.670600
roulette wheel,45,1,100,50,rosenbrock,3,0.368346,3.777537,5.295758,7.602414,0.694690
roulette wheel,50,2,100,50,rosenbrock,3,0.209952,7.083307,7.034391,11.308541,0.730340
roulette wheel,50,1,100,50,rosenbrock,3,0.109737,6.415893,6.818875,21.091288,0.741860
roulette wheel,45,3,100,50,rosenbrock,3,0.554974,4.090547,4.747735,8.155135,0.777240
roulette wheel,50,3,100,50,rosenbrock,3,0.191794,4.644094,4.894243,11.214252,0.778110
roulette wheel,110,2,100,50,rosenbrock,3,0.316515,5.609759,8.252968,16.579842,0.730680
roulette wheel,115,1,100,50,rosenbrock,3,0.340784,6.785917,8.599021,26.533903,0.684735
roulette wheel,45,2,100,50,rosenbrock,3,0.362811,6.251494,7.549076,12.073854,0.844890
roulette wheel,60,2,100,50,rosenbrock,3,0.966842,6.016272,7.165779,8.673841,0.655300
roulette wheel,55,2,100,50,rosenbrock,3,0.012435,6.376936,6.820986,37.792610,0.771260
roulette wheel,115,2,100,50,rosenbrock,3,0.141226,3.251875,3.464368,21.789246,0.724875
roulette wheel,65,1,100,50,rosenbrock,3,0.428513,3.515598,4.277314,14.768119,0.615330
roulette wheel,120,2,100,50,rosenbrock,3,0.187023,6.543867,8.808383,20.972794,0.625360
roulette wheel,60,3,100,50,rosenbrock,3,0.159680,4.326521,4.637838,14.999997,0.770035
roulette wheel,65,3,100,50,rosenbrock,3,0.464048,8.476170,7.412765,24.221441,0.741740
roulette wheel,70,2,100,50,rosenbrock,3,0.661003,4.578677,4.773397,45.991150,0.639935
roulette wheel,125,1,100,50,rosenbrock,3,0.132278,4.413001,3.816668,13.245954,0.678515
roulette wheel,70,3,100,50,rosenbrock,3,0.228477,5.884814,4.302903,11.754924,0.668075
roulette wheel,130,1,100,50,rosenbrock,3,0.040387,4.829502,3.072910,10.300012,0.735955
roulette wheel,75,2,100,50,rosenbrock,3,0.014527,3.963952,5.212959,18.279913,0.743710
roulette wheel,140,1,100,50,rosenbrock,3,0.106080,5.334542,6.393455,23.211184,0.710015
roulette wheel,135,2,100,50,rosenbrock,3,1.316553,12.723820,11.277404,20.086193,0.779885
roulette wheel,85,1,100,50,rosenbrock,3,0.103156,5.515051,6.184479,19.775784,0.729215
roulette wheel,75,3,100,50,rosenbrock,3,0.348294,6.322753,7.367655,12.774524,0.817700
roulette wheel,80,2,100,50,rosenbrock,3,0.221323,5.334570,5.611576,19.502239,0.790355
roulette wheel,85,3,100,50,rosenbrock,3,0.114340,9.005661,8.025431,20.140808,0.745860
roulette wheel,145,2,100,50,rosenbrock,3,0.117019,2.532748,2.847007,15.939226,0.712390
roulette wheel,150,2,100,50,rosenbrock,3,0.086344,6.786444,4.646117,24.448896,0.708735
roulette wheel,140,3,100,50,rosenbrock,3,0.063585,5.067087,3.292878,25.734753,0.835140
roulette wheel,90,3,100,50,rosenbrock,3,0.107744,3.970529,3.560076,11.233634,0.768035
roulette wheel,95,2,100,50,rosenbrock,3,0.292201,5.802629,4.738947,17.525152,0.749520
roulette wheel,90,2,100,50,rosenbrock,3,0.374914,3.729260,3.980659,4.550560,0.830260
roulette wheel,100,1,100,50,rosenbrock,3,0.425169,9.152458,6.949976,25.738708,0.667500
roulette wheel,150,3,100,50,rosenbrock,3,1.195001,5.347628,6.082946,20.552547,0.780480
roulette wheel,155,1,100,50,rosenbrock,3,0.111102,10.964278,7.796971,29.981905,0.719040
roulette wheel,160,1,100,50,rosenbrock,3,0.755331,10.453740,10.438547,24.468075,0.691125
roulette wheel,105,1,100,50,rosenbrock,3,0.811486,11.923415,13.168039,26.867897,0.776510
roulette wheel,40,3,100,50,rosenbrock,3,0.976496,3.705255,3.383440,6.185677,0.863250
roulette wheel,165,1,100,50,rosenbrock,3,0.058026,6.783913,6.081499,12.622910,0.681505
roulette wheel,160,3,100,50,rosenbrock,3,0.246732,9.588388,8.220130,26.901003,0.810295
roulette wheel,170,2,100,50,rosenbrock,3,0.911200,4.655139,4.595400,8.641109,0.661010
roulette wheel,55,1,100,50,rosenbrock,3,0.180915,5.948868,6.137818,11.816776,0.704415
roulette wheel,60,1,100,50,rosenbrock,3,0.291318,5.553154,6.091935,15.874066,0.692765
roulette wheel,120,3,100,50,rosenbrock,3,0.233744,4.580573,3.459199,12.667890,0.663745
roulette wheel,175,3,100,50,rosenbrock,3,0.380538,13.321579,13.247534,41.920330,0.684790
roulette wheel,125,2,100,50,rosenbrock,3,0.393437,10.901072,13.947952,16.944593,0.640540
roulette wheel,55,3,100,50,rosenbrock,3,0.377197,7.063807,7.387671,12.801857,0.799490
roulette wheel,180,2,100,50,rosenbrock,3,0.099252,8.645886,6.097867,18.904112,0.721400
roulette wheel,75,1,100,50,rosenbrock,3,0.181933,6.605653,4.437874,35.858707,0.629855
roulette wheel,115,3,100,50,rosenbrock,3,0.218570,5.475842,5.512640,40.720577,0.795015
roulette wheel,180,3,100,50,rosenbrock,3,0.009280,5.809859,5.648361,26.987984,0.755895
roulette wheel,130,2,100,50,rosenbrock,3,0.268883,10.230085,5.297944,21.315283,0.738180
roulette wheel,125,3,100,50,rosenbrock,3,0.491021,6.661257,4.555990,19.656925,0.820700
roulette wheel,80,1,100,50,rosenbrock,3,0.102287,4.681954,4.174863,18.604925,0.626155
roulette wheel,130,3,100,50,rosenbrock,3,0.132584,5.338744,4.159017,22.315958,0.771235
roulette wheel,190,3,100,50,rosenbrock,3,1.511611,10.356878,10.571439,20.732244,0.714235
roulette wheel,195,1,100,50,rosenbrock,3,1.061067,7.341063,10.259939,18.987730,0.666475
roulette wheel,85,2,100,50,rosenbrock,3,0.224716,4.468421,3.780294,11.602365,0.635365
roulette wheel,140,2,100,50,rosenbrock,3,0.183812,5.328185,6.309025,27.678753,0.721245
roulette wheel,80,3,100,50,rosenbrock,3,0.152161,5.521613,4.974831,18.826324,0.788020
roulette wheel,200,3,100,50,rosenbrock,3,0.061628,4.595925,3.606530,53.389214,0.715835
roulette wheel,150,1,100,50,rosenbrock,3,0.777239,7.937509,10.131084,18.257772,0.682550
roulette wheel,90,1,100,50,rosenbrock,3,0.048705,3.292055,4.004618,23.063547,0.687810
tournament 3,5,1,100,50,rosenbrock,3,0.129328,1.550840,1.849219,1.813851,0.735530
roulette wheel,95,1,100,50,rosenbrock,3,0.798335,6.060319,6.524879,22.478516,0.686375
roulette wheel,155,2,100,50,rosenbrock,3,0.113520,4.470356,3.768819,15.730770,0.675935
roulette wheel,155,3,100,50,rosenbrock,3,0.095384,5.069700,6.161469,12.775570,0.680680
roulette wheel,100,2,100,50,rosenbrock,3,0.163496,5.614784,8.629725,11.773267,0.724840
roulette wheel,160,2,100,50,rosenbrock,3,0.013902,9.160902,7.755875,18.814295,0.658665
roulette wheel,95,3,100,50,rosenbrock,3,0.570305,7.081351,8.276098,50.481117,0.773805
tournament 3,15,3,100,50,rosenbrock,3,0.482889,2.590579,2.206472,5.521554,0.721540
tournament 3,20,2,100,50,rosenbrock,3,0.080690,3.060503,2.699113,8.553653,0.725710
tournament 3,20,3,100,50,rosenbrock,3,0.964701,3.053687,3.471198,5.117805,0.725485
tournament 3,25,1,100,50,rosenbrock,3,0.192576,3.732384,4.468555,5.325761,0.694910
roulette wheel,170,1,100,50,rosenbrock,3,0.134445,7.696216,9.929865,17.154917,0.686820
tournament 3,30,1,100,50,rosenbrock,3,0.597233,5.693124,8.003252,8.675742,0.678670
roulette wheel,165,3,100,50,rosenbrock,3,0.112237,3.356926,3.671834,6.558424,0.831615
tournament 3,30,2,100,50,rosenbrock,3,0.552687,3.160932,4.177063,15.689635,0.604755
roulette wheel,180,1,100,50,rosenbrock,3,1.654379,4.964766,4.433703,14.704586,0.598950
roulette wheel,170,3,100,50,rosenbrock,3,0.050073,4.475965,3.747922,67.555717,0.749595
roulette wheel,175,2,100,50,rosenbrock,3,0.077540,12.926964,7.041895,51.086918,0.730770
roulette wheel,65,2,100,50,rosenbrock,3,0.691492,3.983000,4.299060,16.789106,0.637150
roulette wheel,120,1,100,50,rosenbrock,3,0.149907,4.038509,4.479282,27.720909,0.686675
roulette wheel,70,1,100,50,rosenbrock,3,0.121544,6.304223,4.507406,42.841553,0.648665
roulette wheel,185,1,100,50,rosenbrock,3,0.018335,6.980905,7.073306,13.345628,0.689495
roulette wheel,190,1,100,50,rosenbrock,3,0.068690,9.068944,10.724688,35.133778,0.622065
roulette wheel,190,2,100,50,rosenbrock,3,0.923404,5.343331,5.291473,12.232263,0.626485
roulette wheel,185,2,100,50,rosenbrock,3,0.503753,8.600754,5.944546,15.535093,0.722580
roulette wheel,135,1,100,50,rosenbrock,3,0.044307,8.243659,9.713402,30.285929,0.685640
roulette wheel,195,2,100,50,rosenbrock,3,0.096072,8.514324,8.470283,27.906141,0.721440
roulette wheel,185,3,100,50,rosenbrock,3,0.149648,6.211644,6.902692,46.753445,0.805865
roulette wheel,200,1,100,50,rosenbrock,3,0.261452,5.757128,5.066719,46.025433,0.643450
roulette wheel,135,3,100,50,rosenbrock,3,0.196651,6.834723,6.583759,44.215935,0.761895
tournament 3,60,2,100,50,rosenbrock,3,0.535418,7.338796,5.787889,14.323111,0.648000
roulette wheel,195,3,100,50,rosenbrock,3,0.633323,4.645257,6.335992,12.480326,0.803595
tournament 3,65,1,100,50,rosenbrock,3,0.557584,11.045280,14.297085,32.011845,0.570860
roulette wheel,200,2,100,50,rosenbrock,3,0.107170,7.731757,8.441395,23.213610,0.746580
