selection,limit,mutation_dims,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,100,2,100,50,rastrigin,3,0.408836,4.827480,4.960324,2.928316,1.105905
roulette wheel,105,1,100,50,rastrigin,3,0.106327,4.128558,5.243882,3.212889,1.063410
roulette wheel,100,3,100,50,rastrigin,3,1.605892,5.250595,6.908045,2.704291,1.147520
roulette wheel,95,3,100,50,rastrigin,3,0.265585,4.769323,5.366441,2.463417,1.237965
roulette wheel,105,2,100,50,rastrigin,3,0.999304,4.235220,4.881021,2.889435,1.170075
roulette wheel,110,1,100,50,rastrigin,3,2.122570,4.312297,4.434463,2.626900,1.172560
roulette wheel,115,2,100,50,rastrigin,3,3.455832,6.107722,6.685535,1.604008,1.100740
roulette wheel,110,2,100,50,rastrigin,3,0.230423,3.652539,4.759564,2.966116,1.151285
roulette wheel,120,1,100,50,rastrigin,3,1.236263,4.171717,5.075921,2.742155,0.985175
roulette wheel,115,1,100,50,rastrigin,3,1.367264,4.931573,6.146627,2.645131,1.174660
roulette wheel,105,3,100,50,rastrigin,3,0.701366,3.881507,4.392211,2.481609,1.267845
roulette wheel,110,3,100,50,rastrigin,3,0.858986,3.972001,4.906929,2.628942,1.210645
roulette wheel,125,1,100,50,rastrigin,3,2.237331,4.666384,5.457491,3.501253,1.210360
roulette wheel,120,2,100,50,rastrigin,3,0.444685,3.997232,4.610350,3.303907,1.024765
roulette wheel,125,2,100,50,rastrigin,3,1.690189,3.415558,3.685973,1.657007,1.122655
roulette wheel,120,3,100,50,rastrigin,3,2.029785,5.136584,5.825627,1.715884,1.258490
roulette wheel,115,3,100,50,rastrigin,3,1.503839,4.170629,5.471444,2.549982,1.270515
roulette wheel,125,3,100,50,rastrigin,3,1.454121,4.215408,4.992925,1.939048,1.029195
roulette wheel,140,1,100,50,rastrigin,3,1.486485,4.738122,5.632195,2.418265,0.901695
roulette wheel,135,1,100,50,rastrigin,3,1.144096,4.494891,5.084918,2.674672,1.044630
roulette wheel,130,1,100,50,rastrigin,3,0.286301,3.363154,4.424384,3.603598,1.180860
roulette wheel,140,2,100,50,rastrigin,3,1.328060,4.254693,5.065114,2.621994,0.926375
roulette wheel,135,3,100,50,rastrigin,3,0.164074,4.688689,5.848590,3.363712,1.034345
roulette wheel,130,3,100,50,rastrigin,3,1.457752,3.782079,4.141895,2.255320,1.156835
roulette wheel,130,2,100,50,rastrigin,3,1.591740,4.550036,5.047556,2.786091,1.253735
roulette wheel,135,2,100,50,rastrigin,3,1.080791,4.464144,5.646465,2.901768,1.202070
roulette wheel,145,2,100,50,rastrigin,3,1.520962,4.822460,5.447386,2.836271,1.033470
roulette wheel,145,1,100,50,rastrigin,3,1.515753,4.296390,5.108928,3.483550,1.079950
roulette wheel,145,3,100,50,rastrigin,3,0.380661,3.767155,5.213270,2.308885,1.040065
roulette wheel,150,1,100,50,rastrigin,3,1.188871,3.522507,3.870872,1.574179,1.032735
roulette wheel,140,3,100,50,rastrigin,3,1.528179,3.569515,4.200984,2.395800,1.189085
roulette wheel,150,2,100,50,rastrigin,3,1.538883,4.894824,5.946747,2.841171,0.939065
roulette wheel,155,1,100,50,rastrigin,3,1.739525,4.392750,5.010054,3.314382,0.875390
roulette wheel,150,3,100,50,rastrigin,3,2.089567,3.585402,3.566835,1.980325,1.186125
roulette wheel,160,1,100,50,rastrigin,3,3.107527,5.601133,5.913909,2.197086,1.011355
roulette wheel,165,1,100,50,rastrigin,3,1.048790,5.328090,6.523128,1.975488,0.941400
roulette wheel,170,2,100,50,rastrigin,3,1.381931,4.546645,5.612009,2.627242,1.084130
roulette wheel,155,3,100,50,rastrigin,3,0.938900,4.020525,4.735475,2.376614,1.103205
roulette wheel,160,3,100,50,rastrigin,3,3.137146,5.428868,6.004723,2.509221,1.065180
roulette wheel,160,2,100,50,rastrigin,3,1.012413,4.392057,5.053018,2.589425,1.104090
roulette wheel,165,2,100,50,rastrigin,3,0.331594,4.047534,5.206809,2.834364,1.090935
roulette wheel,170,1,100,50,rastrigin,3,1.517838,4.659842,6.032104,2.761964,1.120200
roulette wheel,170,3,100,50,rastrigin,3,1.558842,4.407605,5.191374,2.300303,1.171045
roulette wheel,155,2,100,50,rastrigin,3,1.094400,3.892682,5.011325,2.200326,1.206950
roulette wheel,165,3,100,50,rastrigin,3,1.585545,5.491335,6.192627,2.862596,1.265185
roulette wheel,185,2,100,50,rastrigin,3,1.033216,4.100120,4.916598,2.037618,1.357670
roulette wheel,175,3,100,50,rastrigin,3,1.936951,4.737547,5.488060,2.790920,1.335320
