n_leaders,a_factor,c_factor,convergence,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
3,0.500000,2.066557,linear,150,50,rastrigin,3,0.994957,2.363026,2.487398,2.320617,2.169865
3,0.500000,0.802409,linear,150,50,rastrigin,3,0.128441,3.337388,3.979877,2.444595,2.284075
3,0.500000,8.541316,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.397983,2.222510
3,0.500000,0.500000,linear,150,50,rastrigin,3,0.995998,3.987048,5.009287,3.365350,2.416805
3,0.500000,3.316448,linear,150,50,rastrigin,3,0.000000,1.243698,1.492437,0.860222,2.410750
3,0.500000,1.287720,linear,150,50,rastrigin,3,0.994957,2.498081,2.985159,1.727081,2.591565
3,0.500000,5.322296,linear,150,50,rastrigin,3,0.000000,0.684033,0.994957,0.665582,2.577125
3,0.585390,0.585390,linear,150,50,rastrigin,3,0.632620,3.416733,4.164695,2.308561,1.776460
3,0.585390,1.507637,linear,150,50,rastrigin,3,0.994957,2.240662,2.005877,2.000866,1.794885
3,0.500000,2.419483,linear,150,50,rastrigin,3,0.000000,1.430273,1.989916,2.467393,2.324180
3,0.500000,0.939444,linear,150,50,rastrigin,3,0.000010,2.699176,2.986506,2.359172,2.481760
3,0.585390,0.939444,linear,150,50,rastrigin,3,0.997368,3.550454,4.479712,2.692827,2.626275
3,0.585390,2.419483,linear,150,50,rastrigin,3,0.994957,1.865560,1.989916,2.741092,2.477265
3,0.500000,10.000000,linear,150,50,rastrigin,3,0.000000,0.062185,0.000000,0.553969,2.584385
3,0.585390,3.882831,linear,150,50,rastrigin,3,0.000000,0.684033,0.994957,1.188756,2.970475
3,0.500000,0.585390,linear,150,50,rastrigin,3,1.045425,4.523389,5.420264,2.858935,2.392365
3,0.585390,6.231237,linear,150,50,rastrigin,3,0.000000,0.186554,0.000000,0.580155,2.650510
3,0.585390,10.000000,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.000000,2.433720
3,0.500000,3.882831,linear,150,50,rastrigin,3,0.000000,0.621849,0.994957,1.018314,2.498365
3,0.500000,6.231237,linear,150,50,rastrigin,3,0.000000,0.435294,0.994957,0.937322,2.230650
3,0.500000,1.507637,linear,150,50,rastrigin,3,0.000000,3.857843,4.974791,3.257521,2.495970
3,0.585390,0.685363,linear,150,50,rastrigin,3,0.020798,2.827165,3.530065,2.648364,2.467805
3,0.585390,1.765111,linear,150,50,rastrigin,3,0.000000,2.425215,2.487398,2.208603,2.287795
3,0.500000,2.832683,linear,150,50,rastrigin,3,0.000000,1.243697,1.989915,1.723317,2.685055
3,0.685363,0.685363,linear,150,50,rastrigin,3,0.098343,3.216054,4.006274,2.428265,3.177415
3,0.500000,1.099883,linear,150,50,rastrigin,3,0.000191,2.274969,2.985468,2.755270,2.902710
3,0.500000,7.295407,linear,150,50,rastrigin,3,0.000000,0.310924,0.000000,0.731142,2.698130
3,0.585390,1.099883,linear,150,50,rastrigin,3,0.994959,3.237554,3.979885,3.314602,2.930300
3,0.585390,0.500000,linear,150,50,rastrigin,3,0.184772,3.547615,4.981418,3.569129,2.904635
3,0.500000,0.685363,linear,150,50,rastrigin,3,1.024948,3.722835,4.676560,3.202281,2.396320
3,0.500000,1.765111,linear,150,50,rastrigin,3,0.000074,1.557323,1.989918,2.143336,2.505920
3,0.585390,4.545940,linear,150,50,rastrigin,3,0.000000,0.497478,0.994957,0.569390,2.693355
3,0.685363,0.500000,linear,150,50,rastrigin,3,0.994963,5.391071,5.969819,3.532526,2.584850
3,0.685363,1.099883,linear,150,50,rastrigin,3,0.000000,2.300937,2.984879,3.519064,2.922895
3,0.685363,2.832683,linear,150,50,rastrigin,3,0.000000,0.746218,0.994957,1.416723,2.727740
3,0.585390,2.832683,linear,150,50,rastrigin,3,0.000000,1.057143,0.994959,1.631093,2.649110
3,0.685363,1.765111,linear,150,50,rastrigin,3,0.000000,1.492437,1.989916,1.702372,2.874945
3,0.585390,2.066557,linear,150,50,rastrigin,3,0.000000,1.305882,1.989915,1.253619,2.753955
3,0.585390,7.295407,linear,150,50,rastrigin,3,0.000000,0.186554,0.000000,0.474564,2.951540
3,0.500000,4.545940,linear,150,50,rastrigin,3,0.000000,0.497479,0.994957,0.744558,2.873075
3,0.685363,7.295407,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.397983,2.185420
3,0.685363,4.545940,linear,150,50,rastrigin,3,0.000000,0.373109,0.497478,0.659980,2.842825
3,0.585390,0.802409,linear,150,50,rastrigin,3,0.000168,3.959220,4.974798,3.314114,3.053200
3,0.802409,0.500000,linear,150,50,rastrigin,3,0.994961,3.129338,3.986301,2.945444,2.459730
3,0.585390,1.287720,linear,150,50,rastrigin,3,0.000011,2.363380,2.488701,2.857438,1.416460
3,0.802409,1.287720,linear,150,50,rastrigin,3,0.000000,1.678996,1.989918,1.976814,1.804895
3,0.685363,1.287720,linear,150,50,rastrigin,3,0.000000,2.052119,1.989948,2.794703,0.935665
3,0.685363,3.316448,linear,150,50,rastrigin,3,0.000000,0.621848,0.994957,1.269302,0.988625
3,0.802409,5.322296,linear,150,50,rastrigin,3,0.000000,0.373109,0.497478,0.497479,1.547140
3,0.939444,1.507637,linear,150,50,rastrigin,3,0.000000,1.057143,0.994960,3.022360,1.151645
3,0.802409,0.802409,linear,150,50,rastrigin,3,0.994957,2.371156,2.984876,1.745507,2.679355
3,0.802409,8.541316,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.355271,1.404585
3,0.802409,3.316448,linear,150,50,rastrigin,3,0.000000,0.746218,0.994957,1.116838,1.647760
3,0.685363,0.802409,linear,150,50,rastrigin,3,0.994959,2.489622,1.994259,1.820297,2.049840
3,0.685363,0.585390,linear,150,50,rastrigin,3,1.005732,4.208969,4.987261,2.701013,1.128145
3,0.585390,5.322296,linear,150,50,rastrigin,3,0.000000,0.559663,0.994957,0.619356,1.210760
3,0.802409,2.066557,linear,150,50,rastrigin,3,0.000000,0.932773,0.994957,1.315265,2.092505
3,0.939444,6.231237,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.355271,1.216670
3,0.585390,8.541316,linear,150,50,rastrigin,3,0.000000,0.124370,0.000000,0.455947,1.237260
3,0.939444,0.585390,linear,150,50,rastrigin,3,0.994957,2.495724,2.984911,1.867431,1.639145
3,0.939444,2.419483,linear,150,50,rastrigin,3,0.000000,0.621848,0.994957,0.915956,1.482160
3,0.685363,2.066557,linear,150,50,rastrigin,3,0.000000,1.368069,1.989916,1.475759,1.457050
3,0.585390,3.316448,linear,150,50,rastrigin,3,0.000000,0.559663,0.994957,0.744559,1.492530
3,0.685363,8.541316,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.355271,1.270135
3,0.939444,0.939444,linear,150,50,rastrigin,3,0.000000,2.239246,1.990847,2.652779,1.812050
3,0.685363,5.322296,linear,150,50,rastrigin,3,0.000000,0.186554,0.000000,0.580155,0.830105
3,0.802409,0.585390,linear,150,50,rastrigin,3,0.009726,3.122018,4.478272,2.784759,0.919665
3,0.939444,10.000000,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.000000,1.112010
3,0.802409,1.507637,linear,150,50,rastrigin,3,0.000000,1.370998,1.989917,1.521477,0.748310
3,1.099883,0.685363,linear,150,50,rastrigin,3,0.000139,2.177861,2.000418,2.790350,0.850325
3,0.685363,3.882831,linear,150,50,rastrigin,3,0.000000,0.559664,0.994957,1.537362,0.812870
3,0.939444,3.882831,linear,150,50,rastrigin,3,0.000000,0.497478,0.994957,1.154965,2.114680
3,0.685363,1.507637,linear,150,50,rastrigin,3,0.994957,2.549648,2.984875,1.612778,0.852985
3,0.802409,6.231237,linear,150,50,rastrigin,3,0.000000,0.062185,0.000000,0.722630,0.819605
3,0.939444,1.765111,linear,150,50,rastrigin,3,0.000000,1.181512,0.994957,1.550188,0.859520
3,0.802409,2.419483,linear,150,50,rastrigin,3,0.000000,0.870588,0.994957,1.084230,0.712255
3,0.685363,0.939444,linear,150,50,rastrigin,3,0.994957,2.366481,1.512279,3.582454,0.855690
3,0.802409,3.882831,linear,150,50,rastrigin,3,0.000000,0.373109,0.497478,0.586519,0.902770
3,1.099883,1.099883,linear,150,50,rastrigin,3,0.000000,1.119328,0.994966,1.277124,0.880335
3,1.099883,2.832683,linear,150,50,rastrigin,3,0.000000,0.310924,0.000000,0.911893,0.855875
3,0.802409,0.939444,linear,150,50,rastrigin,3,0.000000,2.178881,2.505227,2.199196,1.084535
3,1.099883,1.765111,linear,150,50,rastrigin,3,0.000000,0.932773,0.994957,0.569391,0.933910
3,0.802409,10.000000,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.216846,1.056535
3,1.287720,0.500000,linear,150,50,rastrigin,3,0.000221,2.056021,1.990398,2.161381,0.864735
3,1.099883,4.545940,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.397983,1.005805
3,0.939444,7.295407,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.355271,0.810095
3,1.099883,7.295407,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.216846,1.123685
3,0.939444,0.685363,linear,150,50,rastrigin,3,0.000021,2.622978,2.985435,3.338776,0.818245
3,0.939444,2.832683,linear,150,50,rastrigin,3,0.000000,0.497479,0.994957,0.922686,0.837355
3,0.685363,2.419483,linear,150,50,rastrigin,3,0.000000,0.994958,0.994957,1.607403,0.842460
3,0.802409,1.765111,linear,150,50,rastrigin,3,0.000000,1.057143,0.994958,1.652948,0.931085
3,1.287720,1.287720,linear,150,50,rastrigin,3,0.000000,0.684033,0.994957,1.130055,0.813080
3,0.939444,1.099883,linear,150,50,rastrigin,3,0.000000,1.181515,0.994959,2.213079,0.690600
3,0.685363,10.000000,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.397983,1.048540
3,1.099883,0.500000,linear,150,50,rastrigin,3,0.000105,2.175517,2.984965,1.898255,0.886365
3,0.939444,4.545940,linear,150,50,rastrigin,3,0.000000,0.186554,0.000000,0.474564,0.859275
3,1.287720,3.316448,linear,150,50,rastrigin,3,0.000000,0.124370,0.000000,0.455947,0.832395
3,0.685363,6.231237,linear,150,50,rastrigin,3,0.000000,0.186554,0.000000,0.474564,1.046430
3,0.802409,2.832683,linear,150,50,rastrigin,3,0.000000,0.684033,0.994957,0.736202,0.689490
3,1.287720,0.802409,linear,150,50,rastrigin,3,0.000000,1.865820,1.989918,2.751389,0.921735
3,0.939444,2.066557,linear,150,50,rastrigin,3,0.000000,0.435294,0.994957,1.085371,0.770190
3,1.287720,2.066557,linear,150,50,rastrigin,3,0.000000,0.621848,0.994957,0.696470,0.913790
3,1.099883,0.802409,linear,150,50,rastrigin,3,0.000687,1.991018,1.989924,1.423312,0.960700
3,0.802409,0.685363,linear,150,50,rastrigin,3,0.994995,3.763235,4.975060,2.671034,1.059225
3,1.287720,5.322296,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.298487,1.005210
3,1.099883,3.316448,linear,150,50,rastrigin,3,0.000000,0.248739,0.000000,0.487428,0.967760
3,1.099883,5.322296,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.397983,1.163150
3,0.939444,3.316448,linear,150,50,rastrigin,3,0.000000,0.435294,0.994957,0.937322,1.033120
3,1.099883,1.287720,linear,150,50,rastrigin,3,0.000000,1.678992,1.989916,1.544590,1.036045
3,1.099883,2.066557,linear,150,50,rastrigin,3,0.000000,0.435294,0.994957,0.650538,0.957720
