selection,limit,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,30,100,50,rastrigin,3,0.000000,0.000029,0.000024,0.000075,0.606085
roulette wheel,25,100,50,rastrigin,3,0.000000,0.000029,0.000019,0.000104,0.641295
roulette wheel,15,100,50,rastrigin,3,0.000092,0.001008,0.001121,0.019715,0.695455
roulette wheel,10,100,50,rastrigin,3,0.000345,0.021841,0.026000,0.072515,0.734770
roulette wheel,20,100,50,rastrigin,3,0.000006,0.000057,0.000062,0.000081,0.737860
roulette wheel,35,100,50,rastrigin,3,0.000000,0.000006,0.000010,0.000024,0.735220
roulette wheel,5,100,50,rastrigin,3,0.005365,0.280131,0.327717,0.442943,0.821890
roulette wheel,40,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000007,1.014015
roulette wheel,45,100,50,rastrigin,3,0.000000,0.000004,0.000005,0.000009,0.639155
roulette wheel,50,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000009,0.639330
roulette wheel,65,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000011,0.600335
roulette wheel,80,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000022,0.761620
roulette wheel,85,100,50,rastrigin,3,0.000000,0.000007,0.000006,0.000020,0.834560
roulette wheel,70,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000021,0.772440
roulette wheel,75,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000008,0.614405
roulette wheel,55,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000010,0.595685
roulette wheel,90,100,50,rastrigin,3,0.000000,0.000001,0.000002,0.000008,0.670430
roulette wheel,60,100,50,rastrigin,3,0.000000,0.000003,0.000003,0.000024,0.706890
roulette wheel,100,100,50,rastrigin,3,0.000000,0.000006,0.000005,0.000025,0.635920
roulette wheel,95,100,50,rastrigin,3,0.000000,0.000003,0.000003,0.000010,0.896445
tournament 3,5,100,50,rastrigin,3,0.022537,0.494825,0.661200,0.357216,0.569035
tournament 3,10,100,50,rastrigin,3,0.000896,0.045751,0.048227,0.057565,0.570675
tournament 3,15,100,50,rastrigin,3,0.000088,0.002373,0.001828,0.009027,0.515990
tournament 3,20,100,50,rastrigin,3,0.000002,0.000021,0.000025,0.000180,0.502165
tournament 3,30,100,50,rastrigin,3,0.000000,0.000007,0.000007,0.000023,0.551175
tournament 3,90,100,50,rastrigin,3,0.000000,0.000002,0.000002,0.000015,0.548100
tournament 3,40,100,50,rastrigin,3,0.000000,0.000002,0.000004,0.000004,0.508095
tournament 3,25,100,50,rastrigin,3,0.000000,0.000034,0.000034,0.000341,0.740920
tournament 3,45,100,50,rastrigin,3,0.000000,0.000001,0.000000,0.000006,0.497805
tournament 3,50,100,50,rastrigin,3,0.000000,0.000004,0.000005,0.000004,0.489940
tournament 3,55,100,50,rastrigin,3,0.000000,0.000006,0.000006,0.000013,0.488910
tournament 3,60,100,50,rastrigin,3,0.000000,0.000004,0.000005,0.000008,0.504885
tournament 3,65,100,50,rastrigin,3,0.000000,0.000004,0.000003,0.000020,0.503240
tournament 3,70,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000011,0.494745
tournament 3,75,100,50,rastrigin,3,0.000000,0.000001,0.000001,0.000004,0.497915
tournament 3,80,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000014,0.515025
tournament 3,35,100,50,rastrigin,3,0.000000,0.000003,0.000003,0.000030,0.504515
tournament 3,85,100,50,rastrigin,3,0.000000,0.000003,0.000002,0.000006,0.517720
tournament 3,95,100,50,rastrigin,3,0.000000,0.000003,0.000002,0.000015,0.514330
tournament 3,100,100,50,rastrigin,3,0.000000,0.000005,0.000007,0.000007,0.557800
tournament 5,10,100,50,rastrigin,3,0.000330,0.045592,0.054363,0.062702,0.563135
tournament 5,5,100,50,rastrigin,3,0.056341,0.448631,0.576791,0.380111,0.608670
tournament 5,25,100,50,rastrigin,3,0.000000,0.000008,0.000010,0.000014,0.566050
tournament 5,70,100,50,rastrigin,3,0.000000,0.000001,0.000001,0.000002,0.532880
tournament 5,75,100,50,rastrigin,3,0.000000,0.000000,0.000000,0.000002,0.570890
tournament 5,15,100,50,rastrigin,3,0.000217,0.002776,0.003636,0.010899,0.728175
tournament 5,20,100,50,rastrigin,3,0.000017,0.000295,0.000199,0.000900,0.681160
tournament 5,40,100,50,rastrigin,3,0.000000,0.000001,0.000001,0.000003,0.535985
tournament 5,50,100,50,rastrigin,3,0.000000,0.000001,0.000000,0.000004,0.557955
tournament 5,55,100,50,rastrigin,3,0.000000,0.000001,0.000000,0.000003,0.542265
tournament 5,60,100,50,rastrigin,3,0.000000,0.000000,0.000000,0.000001,0.528725
tournament 5,45,100,50,rastrigin,3,0.000000,0.000001,0.000000,0.000006,0.890755
tournament 5,65,100,50,rastrigin,3,0.000000,0.000001,0.000001,0.000002,0.568030
tournament 5,30,100,50,rastrigin,3,0.000000,0.000008,0.000010,0.000043,0.535395
tournament 5,35,100,50,rastrigin,3,0.000000,0.000002,0.000003,0.000006,0.531820
tournament 5,80,100,50,rastrigin,3,0.000000,0.000001,0.000000,0.000004,0.541190
tournament 5,85,100,50,rastrigin,3,0.000000,0.000000,0.000000,0.000002,0.555245
tournament 5,100,100,50,rastrigin,3,0.000000,0.000000,0.000000,0.000003,0.537540
tournament 5,95,100,50,rastrigin,3,0.000000,0.000000,0.000000,0.000004,0.544785
tournament 5,90,100,50,rastrigin,3,0.000000,0.000000,0.000000,0.000001,0.614570
roulette wheel,35,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000000,8.580710
roulette wheel,25,300,150,rastrigin,6,0.000000,0.000013,0.000012,0.000021,8.814530
roulette wheel,15,300,150,rastrigin,6,0.004227,0.044607,0.056788,0.050233,8.888230
roulette wheel,30,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000001,9.088675
roulette wheel,20,300,150,rastrigin,6,0.000202,0.002125,0.002004,0.002884,9.180060
roulette wheel,10,300,150,rastrigin,6,0.092735,0.768981,0.974890,0.576211,9.226140
