selection,limit,mutation_dims,phi0,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,10,1,2.000000,75,50,rastrigin,3,0.006620,0.179719,0.206099,0.363531,1.200545
roulette wheel,40,1,1.037155,75,50,rastrigin,3,0.000000,0.000004,0.000004,0.000028,1.065360
roulette wheel,40,1,0.896332,75,50,rastrigin,3,0.000000,0.000114,0.000090,0.000443,1.125745
roulette wheel,30,1,1.115658,75,50,rastrigin,3,0.000000,0.000003,0.000005,0.000028,1.097760
roulette wheel,40,1,1.388651,75,50,rastrigin,3,0.000000,0.000010,0.000009,0.000031,1.039220
roulette wheel,30,1,1.290939,75,50,rastrigin,3,0.000004,0.000030,0.000041,0.000047,1.052555
roulette wheel,40,1,1.859271,75,50,rastrigin,3,0.000004,0.000052,0.000054,0.000516,1.007940
roulette wheel,50,1,0.896332,75,50,rastrigin,3,0.000000,0.000030,0.000038,0.000062,1.021640
roulette wheel,30,1,1.493759,75,50,rastrigin,3,0.000000,0.000020,0.000018,0.000265,0.967845
roulette wheel,40,1,0.500000,75,50,rastrigin,3,0.000002,0.000121,0.000055,0.000502,0.998020
roulette wheel,50,1,0.578555,75,50,rastrigin,3,0.000004,0.000032,0.000021,0.000075,0.987125
roulette wheel,30,1,1.728444,75,50,rastrigin,3,0.000000,0.000045,0.000048,0.000246,0.951215
roulette wheel,40,1,1.606822,75,50,rastrigin,3,0.000000,0.000038,0.000028,0.000228,0.953705
roulette wheel,50,1,0.669452,75,50,rastrigin,3,0.000000,0.000080,0.000037,0.000829,1.068370
roulette wheel,40,1,0.833262,75,50,rastrigin,3,0.000004,0.000043,0.000032,0.000350,0.934620
roulette wheel,50,1,1.037155,75,50,rastrigin,3,0.000000,0.000005,0.000006,0.000025,0.989075
roulette wheel,50,1,0.774630,75,50,rastrigin,3,0.000000,0.000037,0.000044,0.002342,1.128115
roulette wheel,50,1,0.537845,75,50,rastrigin,3,0.000000,0.000032,0.000038,0.000164,0.983525
roulette wheel,50,1,1.200103,75,50,rastrigin,3,0.000000,0.000002,0.000002,0.000012,0.987560
roulette wheel,40,1,0.720123,75,50,rastrigin,3,0.000000,0.000027,0.000029,0.000135,1.144055
