n_leaders,a_factor,c_factor,convergence,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
3,0.500000,3.316448,linear,150,50,rosenbrock,3,0.036868,0.792581,0.647168,2.365726,0.623055
3,0.585390,0.585390,linear,150,50,rosenbrock,3,0.120751,2.751702,3.347824,15.979003,0.635405
3,0.500000,5.322296,linear,150,50,rosenbrock,3,0.032710,0.381468,0.400546,1.855532,0.652690
3,0.500000,2.066557,linear,150,50,rosenbrock,3,0.000062,0.638962,0.549757,3.179421,0.701375
3,0.585390,1.507637,linear,150,50,rosenbrock,3,0.005293,1.303002,1.096637,2.974147,0.667260
3,0.939444,3.882831,linear,150,50,rosenbrock,3,0.000358,0.329443,0.307629,1.074563,0.826190
3,2.419483,1.507637,linear,150,50,rosenbrock,3,0.002693,0.934518,0.591685,2.393272,0.856830
3,0.500000,0.500000,linear,150,50,rosenbrock,3,0.002693,2.906723,2.422760,4.671978,0.983355
3,0.500000,0.802409,linear,150,50,rosenbrock,3,0.018620,0.670834,0.696664,24.601601,1.017180
3,0.685363,4.545940,linear,150,50,rosenbrock,3,0.002347,0.459153,0.376032,3.425090,0.768720
3,0.585390,2.419483,linear,150,50,rosenbrock,3,0.098434,0.901296,0.750107,1.922778,0.972915
3,0.585390,3.882831,linear,150,50,rosenbrock,3,0.009317,0.553138,0.376045,3.061162,1.244740
3,0.802409,3.316448,linear,150,50,rosenbrock,3,0.009522,0.233622,0.276715,2.665642,0.703115
3,0.685363,7.295407,linear,150,50,rosenbrock,3,0.000830,0.140351,0.179802,2.050286,1.274710
3,0.585390,0.939444,linear,150,50,rosenbrock,3,0.002138,1.094805,1.289666,1.622231,0.784095
3,0.802409,2.066557,linear,150,50,rosenbrock,3,0.010487,0.700194,0.716220,2.475371,0.736005
3,0.939444,2.419483,linear,150,50,rosenbrock,3,0.022801,1.240135,0.801250,3.195676,0.722205
3,0.802409,5.322296,linear,150,50,rosenbrock,3,0.008206,0.224141,0.188078,2.682935,0.958675
3,0.500000,8.541316,linear,150,50,rosenbrock,3,0.000032,0.167502,0.219868,3.607596,1.644590
3,0.585390,6.231237,linear,150,50,rosenbrock,3,0.036372,1.319578,0.384460,3.015403,1.665915
3,0.585390,10.000000,linear,150,50,rosenbrock,3,0.000204,0.186420,0.204231,1.393574,1.651990
3,0.802409,0.500000,linear,150,50,rosenbrock,3,0.000048,1.591191,1.493181,3.200982,1.414800
3,0.685363,2.832683,linear,150,50,rosenbrock,3,0.023079,0.542675,0.435396,2.902685,1.592990
3,0.685363,0.685363,linear,150,50,rosenbrock,3,0.011637,3.207513,3.023386,46.755615,1.718175
3,0.685363,1.765111,linear,150,50,rosenbrock,3,0.000018,1.345187,0.948418,2.495332,1.678615
3,0.685363,1.099883,linear,150,50,rosenbrock,3,0.005251,2.714111,3.846890,3.373876,1.695005
3,0.939444,0.939444,linear,150,50,rosenbrock,3,0.071882,1.827463,1.905889,2.976506,1.260940
3,1.099883,1.099883,linear,150,50,rosenbrock,3,0.000117,0.822379,0.595120,1.541087,0.933640
3,0.802409,1.287720,linear,150,50,rosenbrock,3,0.000557,0.842207,0.935514,1.616831,1.375265
3,1.287720,0.500000,linear,150,50,rosenbrock,3,0.036331,2.122134,1.741631,17.622868,0.665105
