selection,limit,mutation_dims,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,5,1,100,50,rastrigin,3,0.013241,0.173828,0.174269,0.305979,1.249410
roulette wheel,5,2,100,50,rastrigin,3,0.089855,1.250027,1.410986,0.439400,1.452870
roulette wheel,10,1,100,50,rastrigin,3,0.000877,0.024588,0.024643,0.032564,1.420625
roulette wheel,5,3,100,50,rastrigin,3,0.140879,1.784112,2.083271,0.751619,1.567960
roulette wheel,10,3,100,50,rastrigin,3,0.315197,1.279208,1.452746,0.586492,1.539245
roulette wheel,10,2,100,50,rastrigin,3,0.051075,0.537879,0.629059,0.460851,1.587195
roulette wheel,15,1,100,50,rastrigin,3,0.000069,0.001061,0.000778,0.007128,2.208190
roulette wheel,15,3,100,50,rastrigin,3,0.048008,0.900340,1.108540,0.507688,1.242875
roulette wheel,15,2,100,50,rastrigin,3,0.018934,0.367632,0.390989,0.387791,1.542665
roulette wheel,20,2,100,50,rastrigin,3,0.016962,0.149657,0.169211,0.176299,1.504115
roulette wheel,30,2,100,50,rastrigin,3,0.001093,0.021844,0.023475,0.063680,1.624870
roulette wheel,20,3,100,50,rastrigin,3,0.030609,0.801937,1.123933,0.462122,1.494475
roulette wheel,25,1,100,50,rastrigin,3,0.000002,0.000022,0.000023,0.000061,1.466870
roulette wheel,25,3,100,50,rastrigin,3,0.106167,0.748208,0.906353,0.370257,1.220250
roulette wheel,30,1,100,50,rastrigin,3,0.000000,0.000007,0.000007,0.000025,1.151035
roulette wheel,25,2,100,50,rastrigin,3,0.006945,0.034888,0.038510,0.054068,1.665730
roulette wheel,20,1,100,50,rastrigin,3,0.000008,0.000121,0.000110,0.000633,1.205750
roulette wheel,35,1,100,50,rastrigin,3,0.000000,0.000006,0.000007,0.000009,1.199510
roulette wheel,30,3,100,50,rastrigin,3,0.037661,0.424793,0.556374,0.356551,1.263080
roulette wheel,35,2,100,50,rastrigin,3,0.000240,0.011089,0.015559,0.116610,1.209640
roulette wheel,35,3,100,50,rastrigin,3,0.014380,0.256693,0.291430,0.380896,1.234770
roulette wheel,40,1,100,50,rastrigin,3,0.000000,0.000002,0.000002,0.000020,1.164740
roulette wheel,45,1,100,50,rastrigin,3,0.000000,0.000004,0.000004,0.000023,1.129160
roulette wheel,40,2,100,50,rastrigin,3,0.000849,0.009562,0.010490,0.015197,1.222145
roulette wheel,40,3,100,50,rastrigin,3,0.022869,0.278037,0.311798,0.372676,1.256445
roulette wheel,45,2,100,50,rastrigin,3,0.000919,0.004582,0.004528,0.042680,1.458180
roulette wheel,50,2,100,50,rastrigin,3,0.000286,0.002949,0.003947,0.008107,1.439880
roulette wheel,50,1,100,50,rastrigin,3,0.000000,0.000006,0.000007,0.000037,1.497820
roulette wheel,50,3,100,50,rastrigin,3,0.028860,0.277326,0.297536,0.385231,1.574360
roulette wheel,45,3,100,50,rastrigin,3,0.001949,0.125935,0.103608,0.238288,1.861505
roulette wheel,55,1,100,50,rastrigin,3,0.000000,0.000012,0.000011,0.000022,1.437090
roulette wheel,60,1,100,50,rastrigin,3,0.000000,0.000002,0.000002,0.000005,1.371235
roulette wheel,60,2,100,50,rastrigin,3,0.000343,0.003745,0.003184,0.010824,1.386825
roulette wheel,55,3,100,50,rastrigin,3,0.013969,0.165590,0.172992,0.302734,1.473690
roulette wheel,70,2,100,50,rastrigin,3,0.000183,0.002393,0.002563,0.005663,1.405480
roulette wheel,65,1,100,50,rastrigin,3,0.000000,0.000002,0.000003,0.000032,1.593030
roulette wheel,55,2,100,50,rastrigin,3,0.000492,0.005080,0.006122,0.008485,1.679675
roulette wheel,65,3,100,50,rastrigin,3,0.003534,0.110733,0.127573,0.295044,1.601015
roulette wheel,70,1,100,50,rastrigin,3,0.000000,0.000003,0.000002,0.000015,1.590860
roulette wheel,65,2,100,50,rastrigin,3,0.000223,0.001806,0.001931,0.004380,1.805190
roulette wheel,60,3,100,50,rastrigin,3,0.020809,0.183979,0.211954,0.367062,1.897620
roulette wheel,75,1,100,50,rastrigin,3,0.000000,0.000004,0.000005,0.000017,1.539225
roulette wheel,75,2,100,50,rastrigin,3,0.000023,0.001774,0.002348,0.005175,1.734025
roulette wheel,80,1,100,50,rastrigin,3,0.000000,0.000001,0.000001,0.000010,1.442310
roulette wheel,75,3,100,50,rastrigin,3,0.003910,0.093678,0.105909,0.239383,1.900130
roulette wheel,70,3,100,50,rastrigin,3,0.031746,0.164928,0.200373,0.298135,2.117075
roulette wheel,80,2,100,50,rastrigin,3,0.000074,0.001472,0.001345,0.006915,1.567865
roulette wheel,80,3,100,50,rastrigin,3,0.005499,0.116164,0.144127,0.112058,1.551960
roulette wheel,85,1,100,50,rastrigin,3,0.000000,0.000004,0.000005,0.000009,1.481155
roulette wheel,85,2,100,50,rastrigin,3,0.000034,0.001482,0.002022,0.004263,1.430545
roulette wheel,85,3,100,50,rastrigin,3,0.003216,0.035517,0.041109,0.036659,1.477890
roulette wheel,90,3,100,50,rastrigin,3,0.001413,0.060375,0.081899,0.208912,1.444655
roulette wheel,95,2,100,50,rastrigin,3,0.000034,0.001848,0.001536,0.005543,1.369200
roulette wheel,90,1,100,50,rastrigin,3,0.000000,0.000004,0.000006,0.000009,1.707935
roulette wheel,100,2,100,50,rastrigin,3,0.000233,0.001511,0.001670,0.003872,1.269660
roulette wheel,95,1,100,50,rastrigin,3,0.000000,0.000003,0.000004,0.000007,1.493410
roulette wheel,95,3,100,50,rastrigin,3,0.000698,0.045496,0.045579,0.108092,1.535535
roulette wheel,105,2,100,50,rastrigin,3,0.000114,0.001601,0.002084,0.002839,1.263670
roulette wheel,110,3,100,50,rastrigin,3,0.009846,0.106685,0.140100,0.246022,1.285795
roulette wheel,105,1,100,50,rastrigin,3,0.000000,0.000006,0.000007,0.000013,1.331350
roulette wheel,115,1,100,50,rastrigin,3,0.000000,0.000005,0.000006,0.000010,1.229725
roulette wheel,100,1,100,50,rastrigin,3,0.000000,0.000004,0.000005,0.000153,1.650880
