selection,limit,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,16,300,150,rastrigin,6,0.005781,0.029459,0.030424,0.037584,9.183940
roulette wheel,14,300,150,rastrigin,6,0.007868,0.081105,0.112152,0.131343,9.289790
roulette wheel,12,300,150,rastrigin,6,0.029982,0.389047,0.514024,0.443918,9.460125
roulette wheel,10,300,150,rastrigin,6,0.107117,0.885635,1.080431,0.484392,9.593805
roulette wheel,8,300,150,rastrigin,6,0.130562,1.259041,1.493457,0.671693,9.786510
roulette wheel,6,300,150,rastrigin,6,1.189653,2.170283,2.538216,0.746436,10.299220
roulette wheel,28,300,150,rastrigin,6,0.000000,0.000001,0.000002,0.000003,7.856765
roulette wheel,4,300,150,rastrigin,6,0.721691,3.953342,4.676921,1.326287,10.351860
roulette wheel,30,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000001,7.990950
roulette wheel,32,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000002,8.282100
roulette wheel,22,300,150,rastrigin,6,0.000019,0.000205,0.000220,0.000265,8.780030
roulette wheel,34,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000000,8.761150
roulette wheel,24,300,150,rastrigin,6,0.000008,0.000033,0.000044,0.000063,8.936180
roulette wheel,18,300,150,rastrigin,6,0.000845,0.007796,0.009411,0.010257,9.208535
roulette wheel,2,300,150,rastrigin,6,4.153229,6.758137,7.152183,2.409630,11.431360
roulette wheel,26,300,150,rastrigin,6,0.000000,0.000003,0.000004,0.000012,9.009945
roulette wheel,20,300,150,rastrigin,6,0.000168,0.001261,0.001608,0.001829,9.427880
roulette wheel,36,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000000,9.295755
tournament 3,14,300,150,rastrigin,6,0.009905,0.166581,0.188547,0.226158,8.003765
tournament 3,8,300,150,rastrigin,6,1.325287,2.219684,2.535484,0.555417,8.349070
tournament 3,12,300,150,rastrigin,6,0.250711,0.615646,0.754887,0.381075,8.079345
tournament 3,20,300,150,rastrigin,6,0.000618,0.002883,0.003455,0.003309,7.514640
tournament 3,26,300,150,rastrigin,6,0.000000,0.000006,0.000006,0.000019,7.209240
tournament 3,22,300,150,rastrigin,6,0.000063,0.000348,0.000352,0.000595,8.608640
tournament 3,36,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000000,7.392920
tournament 3,18,300,150,rastrigin,6,0.002151,0.016674,0.022770,0.011659,9.024200
tournament 3,28,300,150,rastrigin,6,0.000000,0.000002,0.000002,0.000003,8.419345
roulette wheel,38,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000000,11.683080
tournament 3,4,300,150,rastrigin,6,2.104580,4.514345,4.888996,1.240177,11.135660
tournament 3,32,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000000,8.969025
tournament 3,2,300,150,rastrigin,6,2.539848,7.542998,8.301117,1.960048,11.462705
tournament 3,10,300,150,rastrigin,6,0.541054,1.258333,1.384272,0.390834,11.718535
roulette wheel,40,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000000,12.728550
tournament 3,6,300,150,rastrigin,6,1.975475,2.785546,3.027421,0.606692,12.555950
tournament 3,30,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000001,10.721450
tournament 3,24,300,150,rastrigin,6,0.000004,0.000061,0.000057,0.000190,12.114675
tournament 3,16,300,150,rastrigin,6,0.013187,0.054745,0.055180,0.064703,12.534800
tournament 3,34,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000000,11.132610
tournament 3,40,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000000,8.536695
tournament 3,38,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000000,10.552110
tournament 5,8,300,150,rastrigin,6,0.397911,1.657913,1.924385,0.628348,8.368005
tournament 5,16,300,150,rastrigin,6,0.001637,0.088934,0.103731,0.103216,8.974775
tournament 5,10,300,150,rastrigin,6,0.125919,0.887139,1.093306,0.637964,10.180960
tournament 5,22,300,150,rastrigin,6,0.000202,0.001532,0.002057,0.001933,9.409570
tournament 5,4,300,150,rastrigin,6,1.660378,3.537680,3.890934,1.062924,11.360425
tournament 5,24,300,150,rastrigin,6,0.000027,0.000421,0.000522,0.000514,8.782405
tournament 5,6,300,150,rastrigin,6,2.078566,2.773677,2.892067,0.661829,11.385525
tournament 5,2,300,150,rastrigin,6,4.532326,5.860351,6.053432,1.384769,12.542920
tournament 5,14,300,150,rastrigin,6,0.031124,0.181671,0.245095,0.164809,10.794725
tournament 5,28,300,150,rastrigin,6,0.000000,0.000016,0.000022,0.000032,8.913730
tournament 5,18,300,150,rastrigin,6,0.005569,0.024120,0.028402,0.034879,11.302920
tournament 5,12,300,150,rastrigin,6,0.145481,0.621883,0.724169,0.393756,12.431260
tournament 5,20,300,150,rastrigin,6,0.000355,0.005185,0.007085,0.023828,11.998325
tournament 5,26,300,150,rastrigin,6,0.000002,0.000053,0.000054,0.000096,10.794720
tournament 5,40,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000000,8.341100
tournament 5,38,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000000,8.403770
tournament 5,36,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000000,8.549200
tournament 5,32,300,150,rastrigin,6,0.000000,0.000002,0.000003,0.000002,8.772545
tournament 5,34,300,150,rastrigin,6,0.000000,0.000000,0.000000,0.000003,8.793505
tournament 5,30,300,150,rastrigin,6,0.000000,0.000004,0.000004,0.000010,9.271925
roulette wheel,40,600,300,rastrigin,9,0.000000,0.000000,0.000000,0.000000,54.141745
roulette wheel,26,600,300,rastrigin,9,0.000034,0.000129,0.000132,0.000170,55.126635
roulette wheel,38,600,300,rastrigin,9,0.000000,0.000000,0.000000,0.000000,59.502225
roulette wheel,22,600,300,rastrigin,9,0.000881,0.004690,0.005276,0.006887,60.473515
roulette wheel,34,600,300,rastrigin,9,0.000000,0.000000,0.000000,0.000000,60.459840
roulette wheel,36,600,300,rastrigin,9,0.000000,0.000000,0.000000,0.000001,61.244735
roulette wheel,32,600,300,rastrigin,9,0.000000,0.000000,0.000000,0.000003,61.459700
roulette wheel,24,600,300,rastrigin,9,0.000252,0.001014,0.001038,0.002216,61.573465
roulette wheel,28,600,300,rastrigin,9,0.000004,0.000020,0.000025,0.000020,62.385985
roulette wheel,20,600,300,rastrigin,9,0.005260,0.028625,0.023212,0.045443,62.708605
roulette wheel,10,600,300,rastrigin,9,0.466637,2.302763,2.581467,0.899810,62.895015
tournament 3,6,600,300,rastrigin,9,4.349960,7.809833,8.363529,1.638638,59.977725
tournament 3,10,600,300,rastrigin,9,1.212456,3.012028,3.291918,0.990497,56.392885
tournament 3,4,600,300,rastrigin,9,8.475723,12.112622,12.549700,2.049108,63.104020
roulette wheel,18,600,300,rastrigin,9,0.020908,0.076099,0.071533,0.157884,64.370535
roulette wheel,30,600,300,rastrigin,9,0.000000,0.000004,0.000004,0.000005,64.334280
tournament 3,8,600,300,rastrigin,9,2.744144,5.530715,6.099918,1.167341,59.429235
tournament 3,12,600,300,rastrigin,9,1.724007,2.597932,2.810371,0.622243,56.804590
tournament 3,14,600,300,rastrigin,9,0.199757,1.257353,1.463112,0.638257,54.292495
tournament 3,2,600,300,rastrigin,9,13.584595,18.806423,19.863518,2.445245,70.259260
roulette wheel,14,600,300,rastrigin,9,0.030067,0.915934,1.218447,0.579882,71.312365
