n_leaders,a_factor,c_factor,convergence,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
3,0.500000,4.865126,linear,150,50,rastrigin,3,0.000000,0.646722,0.994957,1.057606,2.375296
3,0.500000,0.500000,linear,150,50,rastrigin,3,0.029785,4.293447,5.068797,3.449859,2.504112
3,0.500000,1.559667,linear,150,50,rastrigin,3,0.000000,2.479525,2.495072,2.841276,2.512113
3,0.539396,1.067443,linear,150,50,rastrigin,3,0.000000,2.501958,2.984876,2.629598,2.552528
3,0.519324,2.278869,linear,150,50,rastrigin,3,0.000000,1.678997,1.989918,2.121941,2.801151
3,0.519324,7.108555,linear,150,50,rastrigin,3,0.000000,0.198991,0.000000,0.599952,2.819070
3,0.519324,0.730562,linear,150,50,rastrigin,3,0.000004,3.471876,4.974866,2.994589,3.130357
3,0.539396,3.329712,linear,150,50,rastrigin,3,0.000000,0.895461,0.994957,0.939485,2.999391
3,0.560243,1.559667,linear,150,50,rastrigin,3,0.000008,2.377017,1.997624,2.168622,2.444156
3,0.560243,4.865126,linear,150,50,rastrigin,3,0.000000,0.547226,0.994957,1.043710,2.494517
3,0.581895,2.278869,linear,150,50,rastrigin,3,0.000000,1.231262,1.989916,1.781250,2.559985
3,0.560243,0.500000,linear,150,50,rastrigin,3,0.020920,3.510883,4.977966,3.044673,2.856987
3,0.581895,0.730562,linear,150,50,rastrigin,3,0.000004,3.325449,4.004174,2.941267,2.730241
3,0.581895,7.108555,linear,150,50,rastrigin,3,0.000000,0.111933,0.000000,0.545959,2.816242
3,0.627744,0.500000,linear,150,50,rastrigin,3,0.000771,3.965973,5.003529,3.287517,2.855979
3,0.627744,4.865126,linear,150,50,rastrigin,3,0.000000,0.435294,0.994957,0.758455,2.875980
3,0.604385,1.067443,linear,150,50,rastrigin,3,0.000004,2.548166,2.985120,2.417626,3.037929
3,0.627744,1.559667,linear,150,50,rastrigin,3,0.000000,1.480214,1.989918,1.917409,3.024613
3,0.652005,0.730562,linear,150,50,rastrigin,3,0.000046,2.987432,3.032862,2.266554,3.023252
3,0.604385,3.329712,linear,150,50,rastrigin,3,0.000000,0.883024,0.994957,1.243140,3.151130
3,0.500000,0.519324,linear,150,50,rastrigin,3,0.130198,4.462276,5.056210,3.310236,2.409560
3,0.519324,2.366945,linear,150,50,rastrigin,3,0.000000,1.405847,1.989916,1.972993,2.177940
3,0.500000,1.619947,linear,150,50,rastrigin,3,0.000000,2.257763,1.991679,2.492805,2.252885
3,0.539396,1.108698,linear,150,50,rastrigin,3,0.000046,2.574801,2.984921,2.748615,2.302981
3,0.500000,5.053156,linear,150,50,rastrigin,3,0.000000,0.509915,0.994957,1.257902,2.638447
3,0.652005,2.278869,linear,150,50,rastrigin,3,0.000000,1.206407,1.989915,1.579553,2.911672
3,0.677205,3.329712,linear,150,50,rastrigin,3,0.000000,0.696470,0.994957,1.289612,2.132523
3,0.519324,7.383293,linear,150,50,rastrigin,3,0.000000,0.198991,0.000000,0.581774,2.467064
3,0.652005,7.108555,linear,150,50,rastrigin,3,0.000000,0.087059,0.000000,0.468370,3.105040
3,0.677205,1.067443,linear,150,50,rastrigin,3,0.000000,2.650321,2.984877,2.800877,2.221343
3,0.519324,0.758798,linear,150,50,rastrigin,3,0.003613,3.089612,3.931624,2.896884,1.945528
3,0.703378,0.500000,linear,150,50,rastrigin,3,0.005346,3.544500,4.279099,3.222238,1.874608
3,0.539396,3.458402,linear,150,50,rastrigin,3,0.000000,0.870587,0.994957,1.395213,1.583174
3,0.560243,5.053156,linear,150,50,rastrigin,3,0.000000,0.472605,0.994957,0.687602,1.332206
3,0.560243,1.619947,linear,150,50,rastrigin,3,0.000000,1.620749,1.989918,1.928852,1.439057
3,0.604385,3.458402,linear,150,50,rastrigin,3,0.000000,0.932772,0.994957,0.958212,0.975452
3,0.627744,0.519324,linear,150,50,rastrigin,3,0.995262,3.745713,4.995657,3.145422,1.244270
3,0.627744,5.053156,linear,150,50,rastrigin,3,0.000000,0.447731,0.994957,0.593316,1.470860
3,0.627744,1.619947,linear,150,50,rastrigin,3,0.000000,1.902867,1.989918,2.300927,1.347370
3,0.581895,2.366945,linear,150,50,rastrigin,3,0.000000,1.467794,1.989916,1.890926,1.722469
3,0.581895,7.383293,linear,150,50,rastrigin,3,0.000000,0.087059,0.000000,0.692479,1.571736
3,0.500000,0.539396,linear,150,50,rastrigin,3,0.041933,3.570208,4.977108,3.099809,0.956024
3,0.581895,0.758798,linear,150,50,rastrigin,3,0.000004,2.977463,3.020433,2.786561,1.679522
3,0.703378,4.865126,linear,150,50,rastrigin,3,0.000000,0.298487,0.000000,0.571213,1.563589
3,0.703378,1.559667,linear,150,50,rastrigin,3,0.000000,1.878006,1.989920,2.231973,1.605815
