selection,limit,mutation_dims,phi0,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,14,1,2.843422,75,50,rastrigin,3,0.002972,0.195807,0.215461,0.311114,0.929552
roulette wheel,12,1,1.946050,75,50,rastrigin,3,0.005033,0.092738,0.098756,0.187470,0.972465
roulette wheel,14,1,0.911548,75,50,rastrigin,3,0.000099,0.008598,0.009562,0.051621,0.969997
roulette wheel,14,1,0.292225,75,50,rastrigin,3,0.000319,0.254650,0.171971,0.442345,0.976058
roulette wheel,12,1,0.623867,75,50,rastrigin,3,0.000057,0.020187,0.025725,0.121787,1.176861
roulette wheel,16,1,0.426977,75,50,rastrigin,3,0.000103,0.022661,0.023015,0.125212,1.191091
roulette wheel,12,1,0.200000,75,50,rastrigin,3,0.010338,0.957931,1.091907,0.637653,1.223535
roulette wheel,16,1,1.331885,75,50,rastrigin,3,0.000004,0.001018,0.000924,0.016909,1.449376
roulette wheel,18,1,0.623867,75,50,rastrigin,3,0.000000,0.001748,0.001943,0.007588,1.046499
roulette wheel,18,1,0.200000,75,50,rastrigin,3,0.000507,0.764722,1.023285,0.628546,1.434027
roulette wheel,20,1,0.292225,75,50,rastrigin,3,0.000137,0.122519,0.061953,0.426761,0.976137
roulette wheel,18,1,1.946050,75,50,rastrigin,3,0.000019,0.006235,0.005729,0.022683,1.047050
roulette wheel,12,1,0.207730,75,50,rastrigin,3,0.000610,0.799386,1.048585,0.611116,1.031098
roulette wheel,14,1,2.953317,75,50,rastrigin,3,0.006142,0.269339,0.276752,0.373180,1.107517
roulette wheel,14,1,0.946778,75,50,rastrigin,3,0.000000,0.004677,0.004602,0.074279,0.911115
roulette wheel,14,1,0.303519,75,50,rastrigin,3,0.000315,0.356181,0.315032,0.461822,0.907271
roulette wheel,12,1,2.021263,75,50,rastrigin,3,0.001734,0.089085,0.099094,0.235492,0.997893
roulette wheel,12,1,0.647979,75,50,rastrigin,3,0.000237,0.023115,0.024320,0.068809,0.914041
roulette wheel,16,1,0.443479,75,50,rastrigin,3,0.000013,0.021065,0.020173,0.197941,0.917845
roulette wheel,20,1,2.843422,75,50,rastrigin,3,0.000662,0.049931,0.047175,0.218970,0.931678
roulette wheel,22,1,0.426977,75,50,rastrigin,3,0.000011,0.004320,0.004789,0.172394,0.937599
roulette wheel,20,1,0.911548,75,50,rastrigin,3,0.000002,0.000775,0.000862,0.003708,0.949052
roulette wheel,18,1,0.647979,75,50,rastrigin,3,0.000015,0.001856,0.001894,0.015291,1.001276
roulette wheel,16,1,1.383361,75,50,rastrigin,3,0.000017,0.001143,0.001061,0.012454,1.071680
roulette wheel,18,1,0.207730,75,50,rastrigin,3,0.000633,0.654506,1.007519,0.652475,0.962251
roulette wheel,20,1,0.303519,75,50,rastrigin,3,0.000345,0.146566,0.088486,0.412636,1.022958
roulette wheel,18,1,2.021263,75,50,rastrigin,3,0.000038,0.010601,0.009507,0.075833,1.049271
roulette wheel,12,1,0.215758,75,50,rastrigin,3,0.000162,0.733249,1.034353,0.605929,1.033701
