n_leaders,a_factor,c_factor,convergence,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
3,0.200000,2.747511,linear,150,50,rosenbrock,3,0.000029,0.953335,1.097841,1.915690,0.648570
3,0.200000,4.779626,linear,150,50,rosenbrock,3,0.000035,1.739379,1.768473,3.754640,0.644500
3,0.200000,0.300000,linear,150,50,rosenbrock,3,0.416734,43.636963,42.420540,116.150040,0.700715
3,0.245725,0.627664,linear,150,50,rosenbrock,3,0.414910,4.488042,4.925067,28.619204,0.686895
3,0.245725,3.304387,linear,150,50,rosenbrock,3,0.036366,1.178288,1.018299,2.703709,0.675530
3,0.200000,0.907884,linear,150,50,rosenbrock,3,0.245614,3.340714,4.225072,7.749357,0.787770
3,0.245725,1.899487,linear,150,50,rosenbrock,3,0.155181,1.174333,1.071897,1.713830,0.692175
3,0.245725,1.091897,linear,150,50,rosenbrock,3,0.105155,3.255719,4.471184,9.260898,0.709635
3,1.275867,8.314736,linear,150,50,rosenbrock,3,0.002031,0.448621,0.333411,2.923559,0.947185
3,0.301904,0.433935,linear,150,50,rosenbrock,3,0.342474,6.962233,6.992651,102.905357,0.820010
3,0.301904,3.974133,linear,150,50,rosenbrock,3,0.000155,1.012864,0.682076,3.858620,0.815865
3,0.370927,8.314736,linear,150,50,rosenbrock,3,0.008146,0.403106,0.357342,2.728566,1.227500
3,0.245725,0.360805,linear,150,50,rosenbrock,3,0.255552,10.472159,9.647666,40.376919,1.199315
3,0.301904,2.284483,linear,150,50,rosenbrock,3,0.000067,1.451976,1.707351,2.251909,0.956540
3,0.301904,6.913484,linear,150,50,rosenbrock,3,0.062666,1.499167,0.817836,2.847520,0.900565
3,0.245725,10.000000,linear,150,50,rosenbrock,3,0.023665,1.013812,0.538128,2.379001,1.218780
3,0.301904,0.754882,linear,150,50,rosenbrock,3,0.040292,2.079916,2.684235,9.306773,1.279595
3,0.370927,0.907884,linear,150,50,rosenbrock,3,0.136345,1.689954,2.013436,2.817606,1.059980
3,0.559922,0.433935,linear,150,50,rosenbrock,3,0.000157,2.296480,3.470143,16.971128,0.864040
3,0.370927,4.779626,linear,150,50,rosenbrock,3,0.000809,0.440790,0.624257,2.226023,1.029385
3,0.455730,5.748380,linear,150,50,rosenbrock,3,0.001617,0.282280,0.331136,2.592117,0.985925
3,0.200000,8.314736,linear,150,50,rosenbrock,3,0.000000,0.665393,0.632592,2.738681,1.804105
3,0.200000,0.521886,linear,150,50,rosenbrock,3,0.160101,15.851358,14.946392,88.841049,1.072220
3,0.370927,1.579374,linear,150,50,rosenbrock,3,0.077989,1.813048,1.875699,3.480802,1.160025
3,0.301904,1.313208,linear,150,50,rosenbrock,3,0.008084,1.609462,1.995662,70.440643,1.567310
3,0.559922,1.313208,linear,150,50,rosenbrock,3,0.000397,1.425855,0.988501,2.668624,0.976665
3,0.559922,3.974133,linear,150,50,rosenbrock,3,0.004835,0.461468,0.531865,2.831678,0.893030
3,0.687934,0.300000,linear,150,50,rosenbrock,3,0.023385,3.350864,5.036997,50.802872,0.926700
3,0.559922,2.284483,linear,150,50,rosenbrock,3,0.136404,0.917286,0.781395,2.542608,0.971050
3,0.245725,5.748380,linear,150,50,rosenbrock,3,0.028701,1.614413,1.501920,2.081341,1.927535
3,0.687934,0.907884,linear,150,50,rosenbrock,3,0.021583,0.798021,0.961608,1.949720,0.865780
3,0.687934,2.747511,linear,150,50,rosenbrock,3,0.033925,1.234572,0.766823,2.466073,0.900860
3,0.687934,1.579374,linear,150,50,rosenbrock,3,0.038954,1.155555,0.968009,2.013575,0.939890
3,0.370927,0.521886,linear,150,50,rosenbrock,3,0.028666,3.988516,5.461006,144.375168,1.516880
3,0.687934,0.521886,linear,150,50,rosenbrock,3,0.126913,2.425342,3.135999,71.677803,1.015060
3,0.370927,0.300000,linear,150,50,rosenbrock,3,0.971558,50.959370,44.169621,157.739075,1.584235
3,0.559922,0.754882,linear,150,50,rosenbrock,3,0.002220,0.612689,0.824482,32.079849,1.279600
3,0.559922,6.913484,linear,150,50,rosenbrock,3,0.007250,0.303597,0.247281,1.257178,1.158775
3,0.687934,4.779626,linear,150,50,rosenbrock,3,0.006904,0.152486,0.177764,2.169450,0.881555
3,0.455730,1.091897,linear,150,50,rosenbrock,3,0.001493,1.273904,1.415255,2.337894,1.476225
3,0.455730,0.627664,linear,150,50,rosenbrock,3,0.002066,1.605650,2.475515,3.921988,1.490490
3,0.455730,10.000000,linear,150,50,rosenbrock,3,0.000471,0.159128,0.171572,2.878729,1.422565
3,0.455730,1.899487,linear,150,50,rosenbrock,3,0.003598,2.106827,2.741079,3.548906,1.530300
3,0.370927,2.747511,linear,150,50,rosenbrock,3,0.019711,0.789533,0.908646,1.061383,1.613210
3,0.455730,0.360805,linear,150,50,rosenbrock,3,0.247763,10.146001,7.446908,128.787491,1.584245
3,0.455730,3.304387,linear,150,50,rosenbrock,3,0.015984,0.880790,0.808286,2.061867,1.577325
3,0.687934,8.314736,linear,150,50,rosenbrock,3,0.001347,0.134946,0.110175,1.543347,0.996790
3,0.845213,0.627664,linear,150,50,rosenbrock,3,0.024497,1.705261,2.147933,3.414438,0.752135
3,0.845213,0.360805,linear,150,50,rosenbrock,3,0.853788,3.559156,3.711498,4.391584,0.872445
3,0.845213,3.304387,linear,150,50,rosenbrock,3,0.000240,0.247585,0.392234,1.031271,0.735425
3,0.845213,10.000000,linear,150,50,rosenbrock,3,0.000596,0.204329,0.238478,1.587709,0.791355
3,1.038450,1.313208,linear,150,50,rosenbrock,3,0.031712,1.442500,1.661244,2.131274,0.678370
3,1.038450,0.433935,linear,150,50,rosenbrock,3,0.109274,1.555065,1.947839,2.064099,0.777810
3,0.845213,1.899487,linear,150,50,rosenbrock,3,0.074063,1.166882,0.701162,2.839160,0.954410
3,0.845213,1.091897,linear,150,50,rosenbrock,3,0.005453,2.090548,2.917835,3.625420,1.004260
3,1.038450,3.974133,linear,150,50,rosenbrock,3,0.026754,0.463590,0.259097,3.051663,0.694370
3,1.275867,0.300000,linear,150,50,rosenbrock,3,0.864475,2.150084,2.349998,2.729500,0.656665
3,1.275867,0.907884,linear,150,50,rosenbrock,3,0.000390,0.754914,0.613127,3.100390,0.630740
3,1.275867,0.521886,linear,150,50,rosenbrock,3,0.045296,1.970849,2.066861,3.294542,0.638620
3,1.038450,2.284483,linear,150,50,rosenbrock,3,0.008575,0.715211,0.437021,3.171158,0.736010
3,0.845213,5.748380,linear,150,50,rosenbrock,3,0.000426,0.189802,0.217908,0.679337,0.988585
