selection,limit,mutation_dims,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,5,1,75,50,rastrigin,3,0.098156,0.565457,0.560992,0.353766,1.008445
roulette wheel,5,3,75,50,rastrigin,3,1.166759,2.019932,2.360190,0.689263,1.013055
roulette wheel,5,2,75,50,rastrigin,3,0.084352,1.113638,1.336486,0.505243,1.029095
roulette wheel,10,2,75,50,rastrigin,3,0.175056,0.725206,0.984557,0.381020,0.987710
roulette wheel,10,1,75,50,rastrigin,3,0.000975,0.026206,0.025109,0.080163,1.056250
roulette wheel,10,3,75,50,rastrigin,3,0.676506,1.463820,1.567009,0.540604,1.080465
roulette wheel,15,1,75,50,rastrigin,3,0.000067,0.002994,0.002774,0.010649,1.138925
roulette wheel,15,2,75,50,rastrigin,3,0.013226,0.495494,0.635320,0.346550,0.983780
roulette wheel,20,1,75,50,rastrigin,3,0.000000,0.000152,0.000153,0.000513,0.948295
roulette wheel,25,1,75,50,rastrigin,3,0.000000,0.000042,0.000044,0.000112,0.834150
roulette wheel,15,3,75,50,rastrigin,3,0.435001,1.167230,1.344604,0.568285,0.995635
roulette wheel,20,3,75,50,rastrigin,3,0.307076,0.953027,1.090612,0.396253,0.972460
roulette wheel,25,3,75,50,rastrigin,3,0.080193,0.564911,0.572202,0.473941,1.107155
roulette wheel,25,2,75,50,rastrigin,3,0.010769,0.076537,0.105500,0.205598,1.051695
roulette wheel,20,2,75,50,rastrigin,3,0.034136,0.129140,0.108303,0.156794,0.938455
roulette wheel,30,1,75,50,rastrigin,3,0.000000,0.000013,0.000011,0.000070,0.947820
roulette wheel,35,1,75,50,rastrigin,3,0.000000,0.000006,0.000008,0.000020,0.854840
roulette wheel,30,2,75,50,rastrigin,3,0.002342,0.037780,0.031154,0.083074,0.897735
roulette wheel,45,2,75,50,rastrigin,3,0.000290,0.010645,0.009334,0.034915,0.941605
roulette wheel,30,3,75,50,rastrigin,3,0.050688,0.473578,0.569929,0.464837,1.096875
roulette wheel,35,3,75,50,rastrigin,3,0.054829,0.378436,0.432255,0.380106,0.928365
roulette wheel,40,1,75,50,rastrigin,3,0.000000,0.000017,0.000011,0.000070,0.941950
roulette wheel,40,2,75,50,rastrigin,3,0.000572,0.011146,0.010153,0.019722,0.984025
roulette wheel,40,3,75,50,rastrigin,3,0.024529,0.391787,0.413998,0.335802,1.026420
roulette wheel,45,1,75,50,rastrigin,3,0.000000,0.000008,0.000009,0.000112,0.897165
roulette wheel,35,2,75,50,rastrigin,3,0.002987,0.017267,0.016273,0.124939,0.963340
roulette wheel,45,3,75,50,rastrigin,3,0.014688,0.319104,0.297421,0.523865,0.975175
roulette wheel,50,1,75,50,rastrigin,3,0.000000,0.000008,0.000008,0.000062,0.933385
roulette wheel,60,3,75,50,rastrigin,3,0.003496,0.117941,0.144014,0.342543,1.246675
roulette wheel,50,3,75,50,rastrigin,3,0.015919,0.343434,0.424408,0.351255,1.214475
roulette wheel,55,1,75,50,rastrigin,3,0.000000,0.000010,0.000017,0.000022,0.900210
roulette wheel,55,2,75,50,rastrigin,3,0.000320,0.003695,0.003493,0.009935,0.957265
roulette wheel,55,3,75,50,rastrigin,3,0.001648,0.086136,0.103744,0.197207,0.923635
roulette wheel,50,2,75,50,rastrigin,3,0.000027,0.004183,0.006351,0.012424,0.922990
roulette wheel,60,2,75,50,rastrigin,3,0.000420,0.003020,0.002696,0.041248,1.084960
roulette wheel,60,1,75,50,rastrigin,3,0.000000,0.000005,0.000004,0.000040,1.139680
roulette wheel,65,1,75,50,rastrigin,3,0.000000,0.000009,0.000010,0.000019,1.513280
roulette wheel,70,1,75,50,rastrigin,3,0.000000,0.000005,0.000005,0.000017,0.903905
roulette wheel,65,3,75,50,rastrigin,3,0.000443,0.080695,0.080702,0.348600,0.982295
roulette wheel,70,2,75,50,rastrigin,3,0.000198,0.004232,0.003222,0.052057,0.954195
roulette wheel,65,2,75,50,rastrigin,3,0.000351,0.002437,0.002414,0.011547,1.500715
roulette wheel,70,3,75,50,rastrigin,3,0.023306,0.244755,0.288422,0.335194,0.993785
