selection,limit,mutation_dims,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,5,1,75,50,rosenbrock,3,0.003454,0.087000,0.081353,0.158912,0.734000
roulette wheel,10,2,75,50,rosenbrock,3,0.103142,0.269362,0.246240,0.297897,0.674310
roulette wheel,105,1,75,50,rosenbrock,3,0.000121,0.023978,0.028442,0.043948,0.725605
roulette wheel,45,3,75,50,rosenbrock,3,0.009096,0.160736,0.189813,0.172815,0.826835
roulette wheel,70,3,75,50,rosenbrock,3,0.019179,0.128503,0.119932,0.142149,0.841395
roulette wheel,15,1,75,50,rosenbrock,3,0.015762,0.048920,0.053914,0.068208,0.726870
roulette wheel,15,2,75,50,rosenbrock,3,0.046291,0.366440,0.432380,0.282428,0.789235
roulette wheel,20,1,75,50,rosenbrock,3,0.002515,0.063552,0.072925,0.077500,0.641520
roulette wheel,10,3,75,50,rosenbrock,3,0.107049,0.330318,0.402410,0.198275,0.836420
roulette wheel,15,3,75,50,rosenbrock,3,0.031496,0.276672,0.276847,0.317091,0.696025
roulette wheel,20,3,75,50,rosenbrock,3,0.018986,0.286428,0.318702,0.277284,0.700725
roulette wheel,30,1,75,50,rosenbrock,3,0.003068,0.073182,0.072243,0.083093,0.708840
roulette wheel,25,1,75,50,rosenbrock,3,0.025008,0.101266,0.128601,0.075777,0.775865
roulette wheel,20,2,75,50,rosenbrock,3,0.015319,0.292265,0.349056,0.302570,0.803890
roulette wheel,25,2,75,50,rosenbrock,3,0.015438,0.137463,0.141158,0.134732,0.845450
roulette wheel,30,2,75,50,rosenbrock,3,0.092729,0.242188,0.290167,0.224394,0.826190
roulette wheel,25,3,75,50,rosenbrock,3,0.010146,0.263252,0.296709,0.209978,0.900915
roulette wheel,30,3,75,50,rosenbrock,3,0.008437,0.128478,0.136390,0.157743,0.845470
roulette wheel,110,3,75,50,rosenbrock,3,0.008223,0.088909,0.118696,0.126018,0.701280
roulette wheel,35,2,75,50,rosenbrock,3,0.048368,0.162859,0.202901,0.156429,0.694630
roulette wheel,40,2,75,50,rosenbrock,3,0.011005,0.116940,0.116501,0.162310,0.712310
roulette wheel,45,1,75,50,rosenbrock,3,0.007194,0.038687,0.046990,0.040640,0.732350
roulette wheel,35,3,75,50,rosenbrock,3,0.030166,0.144994,0.132418,0.138386,0.834855
roulette wheel,45,2,75,50,rosenbrock,3,0.046058,0.177666,0.167194,0.209115,0.668810
roulette wheel,115,3,75,50,rosenbrock,3,0.002070,0.075254,0.091088,0.099961,0.825820
roulette wheel,125,3,75,50,rosenbrock,3,0.006698,0.069330,0.071822,0.142652,0.682025
roulette wheel,50,1,75,50,rosenbrock,3,0.007536,0.040850,0.040504,0.079253,0.727310
roulette wheel,40,3,75,50,rosenbrock,3,0.033853,0.113240,0.132274,0.197401,0.874420
roulette wheel,130,1,75,50,rosenbrock,3,0.000390,0.031148,0.034838,0.041191,0.652935
roulette wheel,5,2,75,50,rosenbrock,3,0.031313,0.396026,0.549053,0.495476,0.821880
roulette wheel,55,2,75,50,rosenbrock,3,0.016830,0.124461,0.159491,0.201579,0.703915
roulette wheel,50,3,75,50,rosenbrock,3,0.007344,0.200232,0.259323,0.192718,0.825050
roulette wheel,60,1,75,50,rosenbrock,3,0.008342,0.052250,0.065438,0.068938,0.728945
roulette wheel,60,3,75,50,rosenbrock,3,0.020494,0.099938,0.097888,0.155670,0.711465
roulette wheel,55,3,75,50,rosenbrock,3,0.004030,0.131123,0.192411,0.119401,0.824700
roulette wheel,60,2,75,50,rosenbrock,3,0.005799,0.124559,0.144260,0.111669,0.831610
roulette wheel,65,1,75,50,rosenbrock,3,0.006820,0.027901,0.024167,0.075854,0.742095
